Material	C_MIN (C:N)	C_MAX (C:N)	C_Avg (C:N)	C_Assumed (%)	Total N (%)	4 week PAN (%)	LowerN/HigherN	RowsMIN_AppRate (tons/acre)	RowsMIN_AppRate (lbs/acre)	RowsMIN_Total_N (lbs N/acre)	RowsMIN_Avail_N (lbs N/acre)	RowsMIN_Total_C (lbs C/acre)	RowsMAX_AppRate (tons/acre)	RowsMAX_AppRate (lbs/acre)	RowsMAX_Total_N (lbs N/acre)	RowsMAX_Avail_N (lbs N/acre)	RowsMAX_Total_C (lbs C/acre)	TreesMIN_AppRate (tons/acre)	TreesMIN_AppRate (lbs/acre)	TreesMIN_Total_N (lbs N/acre)	TreesMIN_Avail_N (lbs N/acre)	TreesMIN_Total_C (lbs C/acre)	TreesMAX_AppRate (tons/acre)	TreesMAX_AppRate (lbs/acre)	TreesMAX_Total_N (lbs N/acre)	TreesMAX_Avail_N (lbs N/acre)	TreesMAX_Total_C (lbs C/acre)	Source
Grass	12.00	25.00	18.50	40.00%	2.16	2.43	LOWER	4.00	8000.00	172.97	4.21	69.19	5.30	10600.00	229.19	5.57	91.68	4.00	8000.00	172.97	4.21	69.19	5.30	10600.00	229.19	5.57	91.68	Rynk, NC State Extension
Grass clippings	12.00	25.00	18.50	40.00%	2.16	2.43	LOWER	4.00	8000.00	172.97	4.21	69.19	5.30	10600.00	229.19	5.57	91.68	4.00	8000.00	172.97	4.21	69.19	5.30	10600.00	229.19	5.57	91.68	Eghball, UNL Extension
Horse manure	20.00	30.00	25.00	40.00%	1.60	-6.00	LOWER	4.00	8000.00	128.00	-7.68	51.20	5.30	10600.00	169.60	-10.18	67.84	4.00	8000.00	128.00	-7.68	51.20	5.30	10600.00	169.60	-10.18	67.84	Rynk, NC State Extension
Leaves	40.00	80.00	60.00	40.00%	0.67	-20.00	LOWER	4.00	8000.00	53.33	-10.67	21.33	5.30	10600.00	70.67	-14.13	28.27	4.00	8000.00	53.33	-10.67	21.33	5.30	10600.00	70.67	-14.13	28.27	Eghball, UNL Extension
Manure — cow and horse	20.00	25.00	22.50	40.00%	1.78	-3.33	LOWER	4.00	8000.00	142.22	-4.74	56.89	5.30	10600.00	188.44	-6.28	75.38	4.00	8000.00	142.22	-4.74	56.89	5.30	10600.00	188.44	-6.28	75.38	Eghball, UNL Extension
Manure — poultry (fresh)	10.00	10.00	10.00	40.00%	4.00	30.00	HIGHER	2.20	4400.00	176.00	52.80	70.40	3.60	7200.00	288.00	86.40	115.20	1.50	3000.00	120.00	36.00	48.00	2.90	5800.00	232.00	69.60	92.80	Eghball, UNL Extension
Manure with litter — horse	30.00	60.00	45.00	40.00%	0.89	-16.67	LOWER	4.00	8000.00	71.11	-11.85	28.44	5.30	10600.00	94.22	-15.70	37.69	4.00	8000.00	71.11	-11.85	28.44	5.30	10600.00	94.22	-15.70	37.69	Eghball, UNL Extension
Manure with litter — poultry	13.00	18.00	15.50	40.00%	2.58	8.71	LOWER	4.00	8000.00	206.45	17.98	82.58	5.30	10600.00	273.55	23.83	109.42	4.00	8000.00	206.45	17.98	82.58	5.30	10600.00	273.55	23.83	109.42	Eghball, UNL Extension
Newspaper	400.00	800.00	600.00	40.00%	0.07	-29.00	LOWER	4.00	8000.00	5.33	-1.55	2.13	5.30	10600.00	7.07	-2.05	2.83	4.00	8000.00	5.33	-1.55	2.13	5.30	10600.00	7.07	-2.05	2.83	Rynk, NC State Extension
Newspaper, shredded	400.00	800.00	600.00	40.00%	0.07	-29.00	LOWER	4.00	8000.00	5.33	-1.55	2.13	5.30	10600.00	7.07	-2.05	2.83	4.00	8000.00	5.33	-1.55	2.13	5.30	10600.00	7.07	-2.05	2.83	Eghball, UNL Extension
Paper	150.00	200.00	175.00	40.00%	0.23	-26.57	LOWER	4.00	8000.00	18.29	-4.86	7.31	5.30	10600.00	24.23	-6.44	9.69	4.00	8000.00	18.29	-4.86	7.31	5.30	10600.00	24.23	-6.44	9.69	Eghball, UNL Extension
Pine needles	80.00	80.00	80.00	40.00%	0.50	-22.50	LOWER	4.00	8000.00	40.00	-9.00	16.00	5.30	10600.00	53.00	-11.93	21.20	4.00	8000.00	40.00	-9.00	16.00	5.30	10600.00	53.00	-11.93	21.20	Eghball, UNL Extension
Poultry litter	5.00	20.00	12.50	40.00%	3.20	18.00	LOWER	4.00	8000.00	256.00	46.08	102.40	5.30	10600.00	339.20	61.06	135.68	4.00	8000.00	256.00	46.08	102.40	5.30	10600.00	339.20	61.06	135.68	Rynk, NC State Extension
Sawdust and wood chips	100.00	500.00	300.00	40.00%	0.13	-28.00	LOWER	4.00	8000.00	10.67	-2.99	4.27	5.30	10600.00	14.13	-3.96	5.65	4.00	8000.00	10.67	-2.99	4.27	5.30	10600.00	14.13	-3.96	5.65	Eghball, UNL Extension
Straw	40.00	100.00	70.00	40.00%	0.57	-21.43	LOWER	4.00	8000.00	45.71	-9.80	18.29	5.30	10600.00	60.57	-12.98	24.23	4.00	8000.00	45.71	-9.80	18.29	5.30	10600.00	60.57	-12.98	24.23	Rynk, NC State Extension
Straw — oats and wheat	70.00	80.00	75.00	40.00%	0.53	-22.00	LOWER	4.00	8000.00	42.67	-9.39	17.07	5.30	10600.00	56.53	-12.44	22.61	4.00	8000.00	42.67	-9.39	17.07	5.30	10600.00	56.53	-12.44	22.61	Eghball, UNL Extension
Swine manure	8.00	20.00	14.00	40.00%	2.86	12.86	LOWER	4.00	8000.00	228.57	29.39	91.43	5.30	10600.00	302.86	38.94	121.14	4.00	8000.00	228.57	29.39	91.43	5.30	10600.00	302.86	38.94	121.14	Rynk, NC State Extension
Vegetable waste	10.00	20.00	15.00	40.00%	2.67	10.00	LOWER	4.00	8000.00	213.33	21.33	85.33	5.30	10600.00	282.67	28.27	113.07	4.00	8000.00	213.33	21.33	85.33	5.30	10600.00	282.67	28.27	113.07	Rynk, NC State Extension
Vegetable waste	12.00	20.00	16.00	40.00%	2.50	7.50	LOWER	4.00	8000.00	200.00	15.00	80.00	5.30	10600.00	265.00	19.88	106.00	4.00	8000.00	200.00	15.00	80.00	5.30	10600.00	265.00	19.88	106.00	Eghball, UNL Extension
Woodchips	100.00	500.00	300.00	40.00%	0.13	-28.00	LOWER	4.00	8000.00	10.67	-2.99	4.27	5.30	10600.00	14.13	-3.96	5.65	4.00	8000.00	10.67	-2.99	4.27	5.30	10600.00	14.13	-3.96	5.65	Rynk, NC State Extension
