CLASS	class_name	SUBCLASS	subclass_name
T	Truck, nursery & berry crops	4	Cole crops (mixture of 22-25)
T	Truck, nursery & berry crops	6	Carrots
T	Truck, nursery & berry crops	7	Celery
T	Truck, nursery & berry crops	8	Lettuce (all types)
T	Truck, nursery & berry crops	9	Melons, squash, and cucumbers (all types)
T	Truck, nursery & berry crops	10	Onions & garlic
T	Truck, nursery & berry crops	11	Peas
T	Truck, nursery & berry crops	12	Potatoes
T	Truck, nursery & berry crops	13	Sweet potatoes
T	Truck, nursery & berry crops	14	Spinach
T	Truck, nursery & berry crops	15	Tomatoes (processing)
T	Truck, nursery & berry crops	16	Flowers, nursery & Christmas tree farms
T	Truck, nursery & berry crops	17	Mixed (four or more)
T	Truck, nursery & berry crops	18	Miscellaneous truck
T	Truck, nursery & berry crops	19	Bush berries
T	Truck, nursery & berry crops	20	Strawberries
T	Truck, nursery & berry crops	21	Peppers (chili, bell, etc.)
T	Truck, nursery & berry crops	22	Broccoli
T	Truck, nursery & berry crops	23	Cabbage
T	Truck, nursery & berry crops	24	Cauliflower
T	Truck, nursery & berry crops	25	Brussels sprouts
T	Truck, nursery & berry crops	26	Tomatoes (market)
T	Truck, nursery & berry crops	27	Greenhouse
T	Truck, nursery & berry crops	28	Blueberries
T	Truck, nursery & berry crops	29	Asian leafy vegetables
T	Truck, nursery & berry crops	30	Lettuce or Leafy Greens grouped for remote sensing only
T	Truck, nursery & berry crops	31	Potato or Sweet potato grouped for remote sensing only
T	Truck, nursery & berry crops	32	Tomato all for remote sensing
U	Urban - generic nomenclature	NA	Urban - generic nomenclature
UC	Commercial	NA	Commercial, subclass not specified
UC	Commercial	1	Offices, retailers, etc.
UC	Commercial	2	Hotels
UC	Commercial	3	Motels
UC	Commercial	4	Recreation vehicle parking, camp sites
UC	Commercial	5	Institutions (hospitals, prisons, reformatories, asylums, etc., having a reasonably constant 24-hour resident population)
UC	Commercial	6	Schools (yards to be mapped separately if large enough)
UC	Commercial	7	Municipal auditoriums, theaters, churches, buildings and stands associated with race tracks, football stadiums, baseball parks, rodeo arenas, amusement parks, etc.
UC	Commercial	8	Miscellaneous highwater use (to be used to indicate a high water use condition not covered by the above categories)
UI	Industrial	NA	Industrial, subclass not specified
UI	Industrial	1	Manufacturing, assembling, and general processing
UI	Industrial	2	Extractive industries (oil fields, rock quarries, gravel pits, rock and gravel processing plants, etc.)
UI	Industrial	3	Storage and distribution (warehouses, substations, railroad marshalling yards, tank farms, etc.)
UI	Industrial	6	Saw mills
UI	Industrial	7	Oil refineries
UI	Industrial	8	Paper mills
UI	Industrial	9	Meat packing plants
UI	Industrial	10	Steel and aluminum mills
UI	Industrial	11	Fruit and vegetable canneries and general food processing
UI	Industrial	12	Miscellaneous highwater use (to be used to indicate a high water use condition not covered by other categories.)
UI	Industrial	13	Sewage treatment plant including ponds
UI	Industrial	14	Waste accumulation sites (public dumps, sewage sludge sites, landfill and hazardous waste sites, etc.)
UI	Industrial	15	Wind farms, solar collector farms, etc.
UL	Lawn	NA	Lawn, subclass not specified
UL	Lawn	1	Lawn area – irrigated
UL	Lawn	2	Golf course – irrigated
UL	Lawn	3	Ornamental landscape (excluding lawns) – irrigated
UL	Lawn	4	Cemeteries – irrigated
UL	Lawn	5	Cemeteries - not irrigated
UR	Urban residential	NA	Urban residential, subclass not specified
UR	Urban residential	1	Single family dwellings with lot sizes greater than 1 acre up to 5 acres (ranchettes, etc.)
UR	Urban residential	2	Single family dwellings with a density of 1 unit/acre up to 8+ units per acre
UR	Urban residential	3	Multiple family (apartments, condominiums, townhouses, barracks, bungalows, duplexes, etc.)
UR	Urban residential	4	Trailer courts
UR	Urban residential	11	Single family dwellings with lot sizes greater than 1 acre up to 5 acres (ranchettes, etc.), 0% to 25% area irrigated
UR	Urban residential	12	Single family dwellings with lot sizes greater than 1 acre up to 5 acres (ranchettes, etc.), 26% to 50% area irrigated
UR	Urban residential	13	Single family dwellings with lot sizes greater than 1 acre up to 5 acres (ranchettes, etc.), 51% to 75% area irrigated
UR	Urban residential	14	Single family dwellings with lot sizes greater than 1 acre up to 5 acres (ranchettes, etc.), 76% to 100% area irrigated
UR	Urban residential	21	Single family dwellings with a density of 1 unit/acre up to 8+ units per acre, 0% to 25% area irrigated
UR	Urban residential	22	Single family dwellings with a density of 1 unit/acre up to 8+ units per acre, 26% to 50% area irrigated
UR	Urban residential	23	Single family dwellings with a density of 1 unit/acre up to 8+ units per acre, 51% to 75% area irrigated
UR	Urban residential	24	Single family dwellings with a density of 1 unit/acre up to 8+ units per acre, 76% to 100% area irrigated
UR	Urban residential	31	Multiple family (apartments, condominiums, townhouses, barracks, bungalows, duplexes, etc.), 0% to 25% area irrigated
UR	Urban residential	32	Multiple family (apartments, condominiums, townhouses, barracks, bungalows, duplexes, etc.), 26% to 50% area irrigated
UR	Urban residential	33	Multiple family (apartments, condominiums, townhouses, barracks, bungalows, duplexes, etc.), 51% to 75% area irrigated
UR	Urban residential	34	Multiple family (apartments, condominiums, townhouses, barracks, bungalows, duplexes, etc.), 76% to 100% area irrigated
UR	Urban residential	41	Trailer courts, 0% to 25% area irrigated
UR	Urban residential	42	Trailer courts, 26% to 50% area irrigated
UR	Urban residential	43	Trailer courts, 51% to 75% area irrigated
UR	Urban residential	44	Trailer courts, 76% to 100% area irrigated
UV	Vacant	NA	Vacant, subclass not specified
UV	Vacant	1	Unpaved areas (vacant lots, graveled surfaces, play yards, developable open lands within urban areas, etc.)
UV	Vacant	3	Railroad right of way
UV	Vacant	4	Paved areas (parking lots, paved roads, oiled surfaces, flood control channels, tennis court areas, auto sales lots, etc.)
UV	Vacant	6	Airport runways
UV	Vacant	7	Land in urban area that is not developable
V	Vineyards	NA	Vineyards, subclass not specified
V	Vineyards	1	Table grapes
V	Vineyards	2	Wine grapes
V	Vineyards	3	Raisin grapes
X	Not cropped or unclassified	NA	Not cropped or unclassified
YP	Young perennial	NA	Young perennial
Z	Outside of study area	NA	Outside of study area
