"EQN_NO","LIFEFORM","SPP_CODE","SPP_TEXT","BIO_COMP","GEO_AREA","SER_STAG","LCL_EQUN","TAX_LIFE","PA1_CODE","PA1_TEXT","PA1_MIN","PA1_MAX","PA1_UNIT","PA2_CODE","PA2_TEXT","PA2_MIN","PA2_MAX","PA2_UNIT","PA3_CODE","PA3_TEXT","PA3_MIN","PA3_MAX","PA3_UNIT","DEP_VAR","DPV_MIN","DPV_MAX","DPV_UNIT","CF1","CF2","CF3","CF4","BPK_EQFM","EQN_TYPE","DPV_O","DPV_OMIN","DPV_OMAX","DPV_OUNIT","IP1_TEXT","IP1_MIN","IP1_MAX","IP1_UNIT","IP2_TEXT","IP2_MIN","IP2_MAX","IP2_UNIT","IP3_TEXT","IP3_MIN","IP3_MAX","IP3_UNIT","ORG_EQFM","SMP_SIZE","R_SQUARE","MS_ERROR","SEE","LOG_BIOC","RAW_DATA","SRC_EQN","SRC_DAT","MARK"
24,"T","ABAM","Abies amabilis (pacific silver fir)","BBL","W","O","01","T","DBH","Stem dia. @ breast ht","11.7","90.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","1.6708","2.6261",NA,NA,"ln(BBL) =  1.6708 + 2.6261 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","11.7","90.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -5.2370 + 2.6261 * ln(DBH)","9","0.96","0.163","0.404","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","272",FALSE
25,"T","ABAM","Abies amabilis (pacific silver fir)","BSW","W","O","01","T","DBH","Stem dia. @ breast ht","11.7","90.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass (without bark)",NA,NA,"g","3.4021","2.5744",NA,NA,"ln(BSW) =  3.4021 + 2.5744 * ln(DBH)",2,"Stem wood biomass (without bark)",NA,NA,"kg","DBH","11.7","90.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -3.5057 + 2.5744 * ln(DBH)","14","0.99","0.018","0.134","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","284",FALSE
26,"T","ABAM","Abies amabilis (pacific silver fir)","BSB","W","O","01","T","DBH","Stem dia. @ breast ht","11.7","90.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","0.79116","2.8421",NA,NA,"ln(BSB) = 0.79116 + 2.8421 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","11.7","90.4","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -6.1166 + 2.8421 * ln(DBH)","14","0.99","0.049","0.221","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","296",FALSE
27,"T","ABPR","Abies procera (noble fir)","BFT","W","M","01","T","DBH","Stem dia. @ breast ht","18.8","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","2.03496","2.1683",NA,NA,"ln(BFT) = 2.03496 + 2.1683 * ln(DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH","18.8","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -4.8728 + 2.1683 * ln(DBH)","6","0.99","0.034","0.184","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.  They took the eqn. from Waring et al. 1978. Variation... For Sci 24:131-140.","308",FALSE
28,"T","ABPR","Abies procera (noble fir)","BBL","W","M","01","T","DBH","Stem dia. @ breast ht","18.8","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","2.7261","2.3324",NA,NA,"ln(BBL) =  2.7261 + 2.3324 * ln(DBH)",2,"Live branch biomass",NA,NA,"kg","DBH","18.8","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -4.1817 + 2.3324 * ln(DBH)","6","0.94","0.199","0.446","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","320",FALSE
29,"T","ABPR","Abies procera (noble fir)","BSW","W","M","01","T","DBH","Stem dia. @ breast ht","18.8","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass (without bark)",NA,NA,"g","3.19196","2.7592",NA,NA,"ln(BSW) = 3.19196 + 2.7592 * ln(DBH)",2,"Stem wood biomass (without bark)",NA,NA,"kg","DBH","18.8","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -3.7158 + 2.7592 * ln(DBH)","6","0.99","0.063","0.251","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","332",FALSE
30,"T","ABPR","Abies procera (noble fir)","BSB","W","M","01","T","DBH","Stem dia. @ breast ht","18.8","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","0.8078","2.8943",NA,NA,"ln(BSB) =  0.8078 + 2.8943 * ln(DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH","18.8","111.0","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -6.1000 + 2.8943 * ln(DBH)","6","0.99","0.059","0.243","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ.","344",FALSE
31,"T","ACMA","Acer macrophyllum (bigleaf maple)","BFT","W","O","01","T","DBH","Stem dia. @ breast ht","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total foliage biomass",NA,NA,"g","3.14276","1.617",NA,NA,"ln(BFT) = 3.14276 + 1.617 * ln (DBH)",2,"Total foliage biomass",NA,NA,"kg","DBH (1.3 m)","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BFT) = -3.765 + 1.617 * ln (DBH)","18","0.87","0.101","0.318","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","356",FALSE
32,"T","ACMA","Acer macrophyllum (bigleaf maple)","BBL","W","O","01","T","DBH","Stem dia. @ breast ht","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Live branch biomass",NA,NA,"g","2.67176","2.430",NA,NA,"ln(BBL) = 2.67176 + 2.430 * ln (DBH)",2,"Live branch biomass",NA,NA,"kg","DBH (1.3 m)","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBL) = -4.236 + 2.430 * ln (DBH)","18","0.88","0.225","0.474","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","368",FALSE
33,"T","ACMA","Acer macrophyllum (bigleaf maple)","BBD","W","O","01","T","DBH","Stem dia. @ breast ht","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead branch biomass",NA,NA,"g","4.7918","1.092",NA,NA,"ln(BBD) = 4.7918 + 1.092 * ln (DBH)",2,"Dead branch biomass",NA,NA,"kg","DBH (1.3 m)","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BBD) = -2.116 + 1.092 * ln (DBH)","18","0.15","1.862","1.365","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","380",FALSE
34,"T","ACMA","Acer macrophyllum (bigleaf maple)","BSW","W","O","01","T","DBH","Stem dia. @ breast ht","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem wood biomass",NA,NA,"g","3.4148","2.723",NA,NA,"ln(BSW) = 3.4148 + 2.723 * ln (DBH)",2,"Stem wood biomass",NA,NA,"kg","DBH (1.3 m)","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSW) = -3.493 + 2.723 * ln (DBH)","18","0.99","0.014","0.118","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","392",FALSE
35,"T","ACMA","Acer macrophyllum (bigleaf maple)","BSB","W","O","01","T","DBH","Stem dia. @ breast ht","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stem bark biomass",NA,NA,"g","2.3338","2.574",NA,NA,"ln(BSB) = 2.3338 + 2.574 * ln (DBH)",2,"Stem bark biomass",NA,NA,"kg","DBH (1.3 m)","7.6","35.3","cm",NA,NA,NA,NA,NA,NA,NA,NA,"ln(BSB) = -4.574 + 2.574 * ln (DBH)","18","0.98","0.058","0.241","Y",NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Grier, C C & R S Logan. 1977. Old-growth... Ecol. Monogr. 47(4):373-400.","404",FALSE
36,"T","ALRU","Alnus rubra (red alder)","BST","C","Y","01","T","DBH","Stem dia. @ breast ht",NA,NA,"cm","HT","Height",NA,NA,"cm",NA,NA,NA,NA,NA,"Total stem biomass",NA,NA,"g","20.","1600","-0.5",NA,"BST = 20 + 1600*DBH^2*HT - 0.5*(DBH^2*HT)^2",8,"Total stem biomass",NA,NA,"kg","DBH",NA,NA,"cm","Height",NA,NA,"m",NA,NA,NA,NA,"BST = 0.02 + 1.60 X - 0.0005 X^2                                                Where X = (DBH^2 * HT)/100 (X: Range 5.0-300.0)","91","0.99",NA,NA,NA,NA,"Gholz et al. 1979. Equations for estimating... Res Pap 41, For Res Lab, Ore State Univ. They took eqn. directly from Zavitkowski, J. & Stevens, R.D. 1972. Primary... Ecology 53(2):235-242.","416",FALSE
