"SPP_CODE","SPP_TEXT","BIO_COMP"
"TSHE","Tsuga heterophylla (western hemlock)","BBL"
"TSHE","Tsuga heterophylla (western hemlock)","BBD"
"TSHE","Tsuga heterophylla (western hemlock)","BSW"
"TSHE","Tsuga heterophylla (western hemlock)","BSB"
"TSHE","Tsuga heterophylla (western hemlock)","BFN"
"TSHE","Tsuga heterophylla (western hemlock)","BST"
"TSHE","Tsuga heterophylla (western hemlock)","BBS"
"TSHE","Tsuga heterophylla (western hemlock)","BCL"
"TSHE","Tsuga heterophylla (western hemlock)","BCD"
"TSME","Tsuga mertensiana (mountain hemlock)","BFT"
"TSME","Tsuga mertensiana (mountain hemlock)","BBL"
"TSME","Tsuga mertensiana (mountain hemlock)","BBD"
"TSME","Tsuga mertensiana (mountain hemlock)","BSW"
"TSME","Tsuga mertensiana (mountain hemlock)","BSB"
"TSME","Tsuga mertensiana (mountain hemlock)","BST"
