Table 3. -- Equations and parameters for diameter-based biomass equations,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Common Name,Component ID,Equation Form ID,a,b,c,d,e,Diameter,Corrected for bias,Bias correction (CF),r,R2,MinDiameter,MaxDiameter,Sample size,Stump height,Top d.o.b.,Units diameter,Units biomass,Component,Component sum,Ratio equation,Segmented equation,Equation number,Source,Notes
11,Pacific silver fir,5,1,3.096,1.327,0,,,BA,no,0,0,0.95,31,90.4,7,12,1,cm,kg,na,,,,1,91,equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,5,1,2.957,2.654,0,,,d.b.h.,no,0,0,0.95,31,90.4,7,12,1,cm,kg,na,,,,1,91,equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,5,4,-42.324,1052.28,0,,,BA,no,0,0,0.95,31,90.4,7,12,0,cm,kg,na,,,,1,92,
11,Pacific silver fir,5,2,-11.8442,0,2.5677,1,,d.b.h.,no,0,0,0.857,8.1,109.3,143,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,5,2,-10.8498,0,2.3179,1,,d.b.h.,no,0,0,0.833,8.1,109.3,75,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,5,2,-13.5169,0,3.0009,1,,d.b.h.,no,0,0,0.918,13.3,80,68,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,6,2,-9.46281,0,2.4762,1,,d.b.h.,no,0,0,0.933,8.1,109.3,75,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,6,2,-10.6483,0,2.7763,1,,d.b.h.,no,0,0,0.977,13.3,80,68,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,6,2,-9.9176,0,2.5867,1,,d.b.h.,no,0,0,0.947,8.1,109.3,143,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
11,Pacific silver fir,8,2,-5.237,0,2.6261,1,,d.b.h.,yes,0,0,0.96,11.7,90.4,9,,,cm,kg,na,,,,1,55,"includes data from published and unpublished sources, as well as original work; coefficients corrected for bias"
11,Pacific silver fir,9,4,-7.558,103.675,0,0,,d.b.h.,no,0,0,0.86,31,90.4,7,,,cm,kg,na,,,,1,91,logarithmic equation also presented based on the same data; equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,9,1,2.019,1.317,0,,,d.b.h.,no,0,0,0.91,31,90.4,7,,,cm,kg,na,,,,1,91,equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,10,4,-39.77,663.778,0,0,,BA,no,0,0,0.82,31,70.4,7,,,cm,kg,na,,,,1,91,includes all branches larger than 2.54 cm; logarithmic equation also included based on the same data; equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,10,4,-202.413,620.411,0,0,,d.b.h.,no,0,0,0.8,31,90.4,7,,,cm,kg,na,,,,1,91,includes all branches larger than 2.54 cm; logarithmic equation also included based on the same data; equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,10,1,2.665,2.493,0,,,d.b.h.,no,0,0,0.92,31,90.4,7,,,cm,kg,na,,,,1,91,includes all branches larger than 2.54 cm; equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,18,2,-4.5487,0,2.1926,1,,d.b.h.,yes,0,0,0.97,11.7,90.4,9,,,cm,kg,fl,,,,1,55,equation originally from ref 166; coefficients corrected for bias in ref 55
11,Pacific silver fir,23,4,-64.849,316.41,0,0,,d.b.h.,no,0,0,0.91,31,90.4,7,,,cm,kg,na,,,,1,91,logarithmic equation also presented based on the same data; equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,23,4,21.947,325.859,0,0,,BA,no,0,0,0.87,31,90.4,7,,,cm,kg,na,,,,1,91,equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,23,1,2.457,1.789,0,,,d.b.h.,no,0,0,0.92,31,90.4,7,,,cm,kg,na,,,,1,91,equations presented here do not require additional variables (additional equations in original reference)
11,Pacific silver fir,"10,11",1,2.665,2.493,1,,,d.b.h.,no,0,0,0.92,31,90.4,7,,,cm,kg,na,,,,1,92,branches >=1-inch diameter
12,balsam fir,1,2,0.6538,0,2.4872,1,,d.b.h.,no,0,0,0.97,10.16,33.02,40,,,in,lb,na,,,,1,75,includes roots >= 1-inch diameter
12,balsam fir,1,2,0.8162,0,2.414,1,,d.b.h.,no,0,0.996,0,2.54,50.8,95,,,in,lb,na,,,,1,177,no c reported; includes roots <= 1-inch
12,balsam fir,1,2,7.5915,0,0.6,1,,d.b.h.,no,0,0.886,0,0.1,2.54,9,,,in,g,rts,,,,1,177,no c reported; includes roots <= 1-inch
12,balsam fir,2,1,0.086,2.53,1,,,d.b.h.,no,0,0.96,0,2.54,25.4,101,0,,in,lb,ag,,,,1,9,no bias correction; stems cut at groundline
12,balsam fir,2,2,-2.2304,0,2.3263,1,,d.b.h.,yes,1.02,0,0.99,2.5,28.3,30,0,,cm,kg,ag,,,,1,52,"stump ""as close to ground as possible""; to 9 cm d.o.b."
12,balsam fir,2,2,-1.8337,0,2.1283,1,,d.b.h.,yes,1.03,0,0.97,1.5,32.1,50,0,,cm,kg,ag,,,,1,82,stump as short as possible
12,balsam fir,2,2,7.3736,0,0.6003,1,,d.b.h.,no,0,0.886,0,0.1,2.54,13,0,,in,g,ag,,,,1,177,no c reported; small trees cut at ground surface
12,balsam fir,3,2,0.4441,0,2.4975,1,,d.b.h.,no,0,0,0.97,10.16,33.02,40,6,,in,lb,agm,,,,1,75,6-inch stump
12,balsam fir,3,4,0,0,0.1746,2.1555,,d.b.h.,no,0,0,0.98,0.1,40,200,6,,cm,kg,na,,,,1,83,"Nova Scotia and New Brunswick;  assume 6-inch stump (""trees were felled"")"
12,balsam fir,3,1,-0.4081,1.6217,1,,,d.b.h.,yes,0,0,0.81,1,20,20,6,,cm,kg,agm,,,,1,100,"bias correction used by authors but not reported; assume 6-inch stump (""trees were felled"")"
12,balsam fir,3,4,0,0,0.0752,2.497,,d.b.h.,no,0,0,0.99,2.5,40,60,6,,cm,kg,na,a,,,1,117,equations selected for presentation here do not require additional variables for biomass estimation (additional equations presented)
12,balsam fir,3,2,0.5958,0,2.4017,1,,d.b.h.,no,0,0.996,0,2.54,50.8,95,6,,in,lb,agm,,,,1,177,6-inch stump; no c reported
12,balsam fir,4,1,0.062,2.28,1,,,d.b.h.,no,0,0.96,0,2.54,25.4,101,0,0,in,lb,na,c,,,1,9,no bias correction; stems cut at groundline
12,balsam fir,4,2,-4.0345,0,2.6909,1,,d.b.h.,yes,1.02,0,0.96,2.5,28.3,22,0,3.15,cm,kg,swm,c,,,1,52,"stump ""as close to ground as possible""; to 8 cm d.o.b."
12,balsam fir,4,2,-3.1144,0,2.3977,1,,d.b.h.,yes,1.01,0,0.99,2.5,28.3,30,0,0,cm,kg,na,c,,,1,52,"stump ""as close to ground as possible""; wood on total stem including top"
12,balsam fir,4,2,-3.2027,0,2.4228,1,,d.b.h.,yes,1.02,0,0.98,1.5,32.1,50,0,0,cm,kg,na,c,,,1,82,stump as short as possible;stem top diameter not given so assume stem goes to terminal bud
12,balsam fir,4,4,0,0,0.0645,2.2962,,d.b.h.,no,0,0,0.98,0.1,40,200,6,0,cm,kg,na,,,,1,83,"Nova Scotia and New Brunswick;  assume 6-inch stump (""trees were felled"")"
12,balsam fir,5,1,-0.916,2.47,1,,,d.b.h.,no,0,0.95,0,2.54,25.4,101,0,0,in,lb,na,c,,,1,9,no bias correction; stems cut at groundline
12,balsam fir,5,2,-5.2684,0,2.5467,1,,d.b.h.,yes,1.04,0,0.93,2.5,28.3,22,0,3.15,cm,kg,sbm,c,,,1,52,"stump ""as close to ground as possible""; to 8 cm d.o.b."
12,balsam fir,5,2,-4.0499,0,2.1601,1,,d.b.h.,yes,1.02,0,0.98,2.5,28.3,30,0,0,cm,kg,na,c,,,1,52,"stump ""as close to ground as possible""; bark on total stem including top"
12,balsam fir,5,2,-4.4204,0,2.2391,1,,d.b.h.,yes,1.06,0,0.95,1.5,32.1,50,0,0,cm,kg,na,c,,,1,82,stump as short as possible;stem top diameter not given so assume stem goes to terminal bud
12,balsam fir,6,2,-3.7775,0,2.6635,1,,d.b.h.,yes,1.02,0,0.96,2.5,28.3,22,0,3.15,cm,kg,na,c,,,1,52,"stump ""as close to ground as possible""; to 8 cm d.o.b."
12,balsam fir,6,2,-2.801,0,2.3524,1,,d.b.h.,yes,1.01,0,0.99,2.5,28.3,30,0,0,cm,kg,na,c,,,1,52,"stump ""as close to ground as possible""; wood plus bark on total stem (incl. top)"
12,balsam fir,6,2,-2.9476,0,2.3932,1,,d.b.h.,yes,1.02,0,0.98,1.5,32.1,50,0,0,cm,kg,na,c,,,1,82,stump as short as possible; stem top diameter not given so assume stem goes to terminal bud
12,balsam fir,6,4,0,0,0.0671,2.3381,,d.b.h.,no,0,0,0.98,0.1,40,200,6,0,cm,kg,na,,,,1,83,"Nova Scotia and New Brunswick;  assume 6-inch stump (""trees were felled"")"
12,balsam fir,6,1,-0.8858,1.8728,1,,,d.b.h.,yes,0,0,0.8,1,20,20,6,0,cm,kg,na,c,,,1,100,"bias correction used by authors but not reported; assume 6-inch stump (""trees were felled""); assume to stem tip"
12,balsam fir,6,2,0.3487,0,2.4117,1,,d.b.h.,no,0,0.995,0,2.54,50.8,95,6,4,in,lb,na,c,,,1,177,6-inch stump to 4-inch top; no c reported
12,balsam fir,8,2,-4.3537,0,2.4263,1,,d.b.h.,yes,1.14,0,0.92,2.5,28.3,30,,,cm,kg,na,c,,,1,52,
12,balsam fir,12,1,0.226,2.11,1,,,d.b.h.,no,0,0.8,0,2.54,25.4,101,,,in,lb,na,c,,,1,9,no bias correction
12,balsam fir,12,2,-4.3612,0,2.0505,1,,d.b.h.,yes,1.17,0,0.88,2.5,28.3,30,,,cm,kg,na,c,,,1,52,
12,balsam fir,13,1,-1.294,3.22,1,,,d.b.h.,no,0,0.95,0,2.54,25.4,101,,,in,lb,na,,,,1,9,no bias correction
12,balsam fir,13,2,-2.6293,0,1.7793,1,,d.b.h.,yes,1.05,0,0.89,1.5,32.1,50,,,cm,kg,na,,,,1,82,branch diameter not given 
12,balsam fir,13,4,0,0,0.0909,1.8405,,d.b.h.,no,0,0,0.86,0.1,40,200,,,cm,kg,na,,,,1,83,"Nova Scotia and New Brunswick;  assume 6-inch stump (""trees were felled"")"
12,balsam fir,13,2,-2.206,0,2.4605,1,,d.b.h.,no,0,0.949,0,2.54,50.8,95,,,in,lb,na,,,,1,177,no c reported
12,balsam fir,18,1,-1.258,3.21,1,,,d.b.h.,no,0,0.98,0,2.54,25.4,101,,,in,lb,fl,,,,1,9,no bias correction
12,balsam fir,18,2,-4.1778,0,2.3367,1,,d.b.h.,yes,1.15,0,0.92,2.5,28.3,30,,,cm,kg,fl,t,,,1,52,
12,balsam fir,18,2,-2.7854,0,1.6737,1,,d.b.h.,yes,1.05,0,0.9,1.5,32.1,50,,,cm,kg,fl,,,,1,82,
12,balsam fir,18,4,0,0,0.09982,1.6421,,d.b.h.,no,0,0,0.85,0.1,40,200,,,cm,kg,na,,,,1,83,"Nova Scotia and New Brunswick;  assume 6-inch stump (""trees were felled"")"
12,balsam fir,18,2,-1.6452,0,2.4506,1,,d.b.h.,no,0,0.944,0,2.54,50.8,95,,,in,lb,fl,,,,1,177,no c reported
12,balsam fir,24,2,-3.1432,0,2.3013,1,,d.b.h.,yes,1.09,0,0.94,2.5,28.3,30,,,cm,kg,na,c,,,1,52,does not include unmerchantable top of stem (assume 4-inch d.o.b.)
12,balsam fir,24,2,-1.5924,0,1.8144,1,,d.b.h.,yes,1.06,0,0.94,2.5,28.3,30,,,cm,kg,na,c,,,1,52,does include unmerchantable top of stem (assume 4-inch d.o.b.)
12,balsam fir,24,2,-2.0259,0,1.7433,1,,d.b.h.,yes,1.05,0,0.9,1.5,32.1,50,,,cm,kg,na,c,,,1,82,
12,balsam fir,24,1,-0.5856,1.3447,1,,,d.b.h.,yes,0,0,0.76,1,20,20,,,cm,kg,na,c,,,1,100,bias correction used by authors but not reported
12,balsam fir,29,1,0.618,2.45,1,,,d.b.h.,no,0,0.96,0,2.54,25.4,89,,,in,lb,rto,,,,1,10,assume all roots; eqn form log10W=consta + coeffX*log(dia) (assume both logs are base 10)
12,balsam fir,29,4,-0.6653,0,0.066,2,,d.b.h.,no,0,0,0.86,5.5,20.5,173,,,cm,kg,rto,,,,1,84,roots > 1.5 mm; c not reported or used; d.b.h. range includes trees within +/- 2 se of mean d.b.h.
12,balsam fir,33,2,-1.0678,0,2.4613,1,,d.b.h.,no,0,0,0.9,10.16,33.02,40,6,,in,lb,rtm,,,,1,75,to 6-inch stump; roots >= 1-inch diameter
12,balsam fir,33,2,-0.7977,0,2.4515,1,,d.b.h.,no,0,0.994,0,2.54,50.8,95,6,,in,lb,rtm,c,,,1,177,no c reported
13,silver fir (Himalaya),2,2,2.0656,0,0.9781,1,,cbh,no,0,0,0.98,30,370,12,0,,cm,kg,ag,a,,,1,2,uprooted trees used so assume stump is 0-inch height
13,silver fir (Himalaya),4,2,1.538,0,1.0088,1,,cbh,no,0,0,0.97,30,370,12,0,0,cm,kg,na,c,,,1,2,"diameter range spans all species in study; actual range not given but could be smaller; no info on top diameter; assume ""bole"" means wood only"
13,silver fir (Himalaya),5,2,-0.1066,0,0.8876,1,,cbh,no,0,0,0.92,30,370,12,0,0,cm,kg,na,c,,,1,2,diameter range spans all species in study; actual range not given but could be smaller; no info on top diameter
13,silver fir (Himalaya),13,2,0.0356,0,0.9977,1,,cbh,no,0,0,0.87,30,370,12,,,cm,kg,na,c,,,1,2,diameter range spans all species in study; actual range not given but could be smaller
13,silver fir (Himalaya),18,2,0.2464,0,0.6429,1,,cbh,no,0,0,0.74,30,370,12,,,cm,kg,fl,c,,,1,2,diameter range spans all species in study; actual range not given but could be smaller
13,silver fir (Himalaya),21,2,-0.0146,0,0.8374,1,,cbh,no,0,0,0.84,30,370,12,,,cm,kg,na,c,,,1,2,diameter range spans all species in study; actual range not given but could be smaller
13,silver fir (Himalaya),26,2,-0.4874,0,1.0909,1,,cbh,no,0,0,0.95,30,370,12,0,,cm,kg,na,r,,,1,2,"diameter range spans all species in study; actual range not given but could be smaller; no definition for ""stump roots"" given; excavated to 1 m depth to 1 m radius around tree"
13,silver fir (Himalaya),27,2,-0.651,0,0.9947,1,,cbh,no,0,0,0.86,30,370,12,0,,cm,kg,na,r,,,1,2,"diameter range spans all species in study; actual range not given but could be smaller; no definition for ""lateral roots"" given; excavated to 1 m depth to 1 m radius around tree"
13,silver fir (Himalaya),28,2,1.0137,0,0.4604,1,,cbh,no,0,0,0.72,30,370,12,0,,cm,kg,na,r,,,1,2,diameter range spans all species in study; actual range not given but could be smaller; fine roots defined as < 10 mm; excavated to 1 m depth to 1 m radius around tree
13,silver fir (Himalaya),29,2,0.5244,0,0.998,1,,cbh,no,0,0,0.96,30,370,12,0,,cm,kg,rt,b,,,1,2,diameter range spans all species in study; actual range not given but could be smaller; excavated to 1 m depth to 1 m radius around tree
15,White fir,2,2,4.36982,0,2.5043,1,,d.b.h.,yes,1.014,0.981,0,7,98,12,40,,cm,g,agm,a,,,1,171,felled at 1 meter height; coefficients as presented are corrected for bias
15,White fir,4,2,-11.2634,0,2.7856,1,,d.b.h.,no,0,0,0.973,14.4,158.4,56,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
15,White fir,4,2,3.11845,0,2.7011,1,,d.b.h.,yes,1.032,0.994,0,7,98,12,40,0,cm,g,na,c,,,1,171,felled at 1 meter height; coefficients as presented are corrected for bias
15,White fir,5,2,-11.7086,0,2.7271,1,,d.b.h.,no,0,0,0.944,14.4,158.4,56,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
15,White fir,5,2,2.36182,0,2.6201,1,,d.b.h.,yes,1.03,0.994,0,7,98,12,40,0,cm,g,na,c,,,1,171,felled at 1 meter height; coefficients as presented are corrected for bias
15,White fir,6,2,-10.8036,0,2.7727,1,,d.b.h.,no,0,0,0.977,14.4,158.4,56,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
15,White fir,8,2,2.82853,0,2.3418,1,,d.b.h.,yes,1.158,0.926,0,7,98,12,,,cm,g,na,c,,,1,171,felled at 1 meter height; coefficients as presented are corrected for bias
15,White fir,18,2,3.81947,0,1.8855,1,,d.b.h.,yes,1.123,0.954,0,7,98,12,,,cm,g,fl,c,,,1,171,"felled at 1 meter height; coefficients as presented are corrected for bias; ""current and older leaves"""
15,White fir,23,2,4.47181,0,1.314,1,,d.b.h.,yes,1.087,0.935,0,7,98,12,,,cm,g,na,,,,1,171,"felled at 1 meter height; coefficients as presented are corrected for bias; ""current twigs and leaves"""
17,Grand fir,6,5,0.62,0,0.8024,0.1724,,d.b.h.,no,0,0,0.99,0,10.16,12,6,0,in,lb,na,,,,1,21,"assume 6-inch stump (""trees were felled""); for trees < 4-inch d.b.h.; dominant trees"
17,Grand fir,6,4,-1.63,0,2.172,2,,d.b.h.,no,0,0,0.87,0,10.16,8,6,0,in,lb,na,,,,2,21,"assume 6-inch stump (""trees were felled""); for trees < 4-inch d.b.h.; intermediate trees"
17,Grand fir,24,2,1.0152,0,1.6839,1,,d.b.h.,no,0,0,0.94,2.54,30.48,15,,,in,lb,na,,,,1,21,dominant and codominant trees
19,Subalpine fir,4,2,-9.84218,0,2.3971,1,,d.b.h.,no,0,0,0.982,15.6,68.7,17,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,4,2,-9.79725,0,2.3891,1,,d.b.h.,no,0,0,0.972,15.6,68.7,21,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,4,2,-9.92848,0,2.4428,1,,d.b.h.,no,0,0,0.956,15.7,46.9,11,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,5,2,-12.3983,0,2.5006,1,,d.b.h.,no,0,0,0.969,15.6,68.7,17,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,5,2,-11.5622,0,2.3149,1,,d.b.h.,no,0,0,0.883,15.6,68.7,21,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,5,2,-13.5028,0,3.1413,1,,d.b.h.,no,0,0,0.646,15.7,46.9,11,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,6,5,1.55,0,0,0.414,,d.b.h.,no,0,0,0.99,0,10.16,12,6,0,in,lb,na,,,,1,21,assume 6-inch stump; dominant trees
19,Subalpine fir,6,2,-9.74475,0,2.4028,1,,d.b.h.,no,0,0,0.982,15.6,68.7,17,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,6,2,-9.64298,0,2.3809,1,,d.b.h.,no,0,0,0.97,15.6,68.7,21,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,6,2,-9.96814,0,2.5265,1,,d.b.h.,no,0,0,0.988,15.7,46.9,11,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
19,Subalpine fir,35,4,7.345,0,1.255,2,,d.b.h.,no,0,0,0.84,2.54,33.02,16,,,in,lb,na,,,,1,21,"assume 6-inch stump (""trees were felled""); dominant and codominant trees"
19,Subalpine fir,36,2,-6.5431,0,4.0365,1,,d.b.h.,no,0,0,0.91,2.54,33.02,16,,,in,lb,na,,,,1,21,dominant and codominant trees; bias correction omitted because they contributed more bias than they eliminated
20,California red fir,2,2,2.61856,0,2.9121,1,,d.b.h.,yes,1.025,0.981,0,30,100,11,40,,cm,g,agm,a,,,1,171,felled at 1 meter height; coefficients as presented are corrected for bias
20,California red fir,4,2,-11.1691,0,2.7621,1,,d.b.h.,no,0,0,0.984,18.8,143.2,31,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
20,California red fir,4,2,2.55249,0,2.7821,1,,d.b.h.,yes,1.038,0.968,0,30,100,11,40,0,cm,g,na,c,,,1,171,felled at 1 meter height; coefficients as presented are corrected for bias
20,California red fir,5,2,-12.3441,0,2.8421,1,,d.b.h.,no,0,0,0.957,18.8,143.2,31,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
20,California red fir,5,2,1.4053,0,2.8468,1,,d.b.h.,yes,1.073,0.945,0,30,100,11,40,0,cm,g,na,c,,,1,171,felled at 1 meter height; coefficients as presented are corrected for bias
20,California red fir,6,2,-10.7955,0,2.759,1,,d.b.h.,no,0,0,0.987,18.8,143.2,31,6,0,cm,Mg,na,,,,1,104,see ref 68 for original bibliographic source; no mention of bias correction; assume 6-inch stump
20,California red fir,8,2,-1.82353,0,3.521,1,,d.b.h.,yes,1.132,0.937,0,30,100,11,,,cm,g,na,c,,,1,171,felled at 1 meter height; coefficients as presented are corrected for bias
20,California red fir,18,2,-0.12667,0,2.9308,1,,d.b.h.,yes,1.095,0.934,0,30,100,11,,,cm,g,fl,c,,,1,171,"felled at 1 meter height; coefficients as presented are corrected for bias; ""current and older leaves"""
20,California red fir,23,2,2.65541,0,1.611,1,,d.b.h.,yes,1.082,0.839,0,30,100,11,,,cm,g,na,,,,1,171,"felled at 1 meter height; coefficients as presented are corrected for bias; ""current twigs and leaves"""
22,Noble fir,4,2,-3.7158,0,2.7592,1,,d.b.h.,yes,0,0,0.99,18.8,111,6,6,0,cm,kg,na,,,,1,55,"includes data from published and unpublished sources, as well as original work; coefficients corrected for bias; assume 6-inch stump"
