"","BIOME","Species","GF","log.LL","log.LMA"
"94","TROP_RF","Coccoloba hondurensis","T",NA,2.02
"95","TROP_RF","Cordia megalantha","T",NA,1.93
"96","TROP_RF","Croton schiedeanus","T",NA,1.82
"97","TROP_RF","Cupania dentata","T",NA,2.06
"98","TROP_RF","Cymbopetalum baillonii","T",NA,2.04
"99","TROP_RF","Cynometra retusa","T",NA,2.11
"100","TROP_RF","Dendropanax arboreus","T",NA,1.97
"101","TROP_RF","Dialium guianense","T",NA,1.92
"102","TROP_RF","Dussia mexicana","T",NA,1.92
"103","TROP_RF","Erythrina folkersii","T",NA,1.69
"104","TROP_RF","Faramea occidentalis","T",NA,1.94
"105","TROP_RF","Ficus tecolutensis","T",NA,2.12
"106","TROP_RF","Ficus yoponensis","T",NA,2.02
"107","TROP_RF","Guamia LT sp1","T",NA,1.66
"108","TROP_RF","Guarea glabra","T",NA,2.06
"109","TROP_RF","Guarea grandifolia","T",NA,2
"110","TROP_RF","Hampea nutricia","T",NA,1.79
"111","TROP_RF","Heliocarpus appendiculatus","T",NA,1.71
"112","TROP_RF","Inga quaternata","T",NA,1.97
"113","TROP_RF","Lonchocarpus guatemalensis","T",NA,1.99
"114","TROP_RF","Lunania mexicana","T",NA,1.74
"115","TROP_RF","Mortoniodendron guatemalense","T",NA,2
"116","TROP_RF","Myriocarpa longipes","S",NA,1.73
"117","TROP_RF","Nectandra ambigens","T",NA,2.14
"118","TROP_RF","Omphalea oleifera","T",NA,1.85
"119","TROP_RF","Oreopanax obtusifolius","EP",NA,2.12
"120","TROP_RF","Orthion oblanceolatum","T",NA,1.84
"121","TROP_RF","Piper amalago","T",NA,1.82
"122","TROP_RF","Piper auritum","S",NA,1.57
"123","TROP_RF","Piper hispidum","S",NA,1.81
"124","TROP_RF","Pleuranthodendron lindenii","T",NA,2
"125","TROP_RF","Poulsenia armata","T",NA,2.07
"126","TROP_RF","Pouteria durlandii","T",NA,2.11
"127","TROP_RF","Pouteria rhynchocarpa","T",NA,1.96
"128","TROP_RF","Pseudolmedia oxyphyllaria","T",NA,1.94
"129","TROP_RF","Psychotria chiapensis","T",NA,1.73
"130","TROP_RF","Psychotria faxlucens","T",NA,1.74
"131","TROP_RF","Psychotria flava","T",NA,2.04
"132","TROP_RF","Psychotria simiarum","T",NA,1.62
"133","TROP_RF","Pterocarpus rohrii","T",NA,1.98
"134","TROP_RF","Quararibea yunckeri","T",NA,1.77
"135","TROP_RF","Garcinia intermedia","T",NA,2.14
"136","TROP_RF","Robinsonella mirandae","T",NA,1.78
"137","TROP_RF","Salacia megistophylla","V",NA,2.19
"138","TROP_RF","Spondias radlkoferi","T",NA,1.86
"139","TROP_RF","Stemmadenia donnell-smithii","T",NA,1.73
"140","TROP_RF","Trema micrantha","T",NA,1.76
"141","TROP_RF","Trichilia martiana","T",NA,1.79
"142","TROP_RF","Trichospermum mexicanum","T",NA,1.98
"143","TROP_RF","Trophis mexicana","T",NA,1.81
"144","TROP_RF","Turpinia occidentalis","T",NA,1.91
"145","TROP_RF","Urera caracasana","S",NA,1.76
"146","TROP_RF","Urera elata","S",NA,1.6
"147","TROP_RF","Vatairea lundellii","T",NA,1.93
"148","TROP_RF","Vochysia guatemalensis","T",NA,2.05
"149","TROP_RF","Zanthoxylum kellermanii","T",NA,1.82
"150","TEMP_FOR","Quercus falcata","T",0.92,2.12
"151","TEMP_FOR","Quercus hemispherica","T",0.96,2.13
"152","TEMP_FOR","Quercus incana","T",0.75,2.03
"153","TEMP_FOR","Quercus laurifolia","T",0.88,2.1
"154","TEMP_FOR","Quercus laevis","T",0.93,2.04
"155","TEMP_FOR","Quercus myrtifolia","T",1.09,2.1
"156","TEMP_FOR","Quercus nigra","T",0.94,2.11
"157","TEMP_FOR","Quercus shumardii","T",0.92,1.99
"158","TEMP_FOR","Quercus pumila","T",0.84,2.08
"159","TEMP_FOR","Quercus stellata","T",0.9,2.15
"160","TEMP_FOR","Quercus margaretta","T",0.88,2.04
"161","TEMP_FOR","Quercus michauxii","T",0.92,2.21
"162","TEMP_FOR","Quercus austrina","T",0.91,2.06
"163","TEMP_FOR","Quercus chapmanii","T",0.94,2.06
"164","TEMP_FOR","Quercus geminata","T",1.04,2.35
"165","TEMP_FOR","Quercus minima","T",0.84,2.01
"166","TEMP_FOR","Quercus virginiana","T",1.01,2.17
"167","WLAND","Arbutus andrachne","S",1.1,1.66
"168","WLAND","Arbutus unedo","S",1.18,1.65
"169","WLAND","Quercus coccifera","S",1.14,1.67
"170","WLAND","Pistacia lentiscus","S",1.05,1.66
"171","WLAND","Ceratonia siliqua","S",1.37,1.69
"172","WLAND","Myrtus communis","S",1.35,1.86
"173","WLAND","Olea europaea","S",1.37,1.64
"174","WLAND","Phillyrea media","S",NA,1.77
"175","WLAND","Quercus ilex","S",NA,1.9
"176","WLAND","Laurus nobilis","S",NA,1.91
"177","WLAND","Nerium oleander","S",NA,1.69
"178","TROP_RF","Dacrydium beccarii","T",NA,NA
"179","TROP_RF","Eugenia caudata","T",NA,NA
"180","TROP_RF","Eugenia stapfiana","T",NA,NA
"181","TROP_RF","Eurycoma longifolia","T",NA,NA
"182","TROP_RF","Ficus deltoidea","V",NA,NA
"183","TROP_RF","Podocarpus neriifolius","T",NA,NA
"184","TROP_RF","Spondias radlkoferi","T",0.67,NA
"185","TROP_RF","Annona spraguei","T",0.59,NA
"186","TROP_RF","Desmopsis panamensis","T",NA,NA
"187","TROP_RF","Guatteria dumentorum","T",1.32,NA
"188","TROP_RF","Aspidosperma megalocarpon","T",1.46,NA
"189","TROP_RF","Jacaranda copaia","T",0.85,NA
"190","TROP_RF","Tabebuia rosea","T",0.9,NA
"191","TROP_RF","Ochroma pyramidale","T",NA,NA
"192","TROP_RF","Quararibea asterolepsis","T",1.07,NA
"193","TROP_RF","Cordia alliodora","T",0.93,NA
"194","TROP_RF","Protium tenuifolium","T",1.28,NA
"195","TROP_RF","Tetragastris panamensis","T",1.36,NA
"196","TROP_RF","Trattinickia aspera","T",0.84,NA
"197","TROP_RF","Prioria copaifera","T",1.46,NA
"198","TROP_RF","Swartzia simplex","T",1.68,NA
"199","TROP_RF","Tachigali versicolor","T",1.36,NA
"200","TROP_RF","Hirtella triandra","T",1.1,NA
"201","TROP_RF","Alchornea costaricense","T",0.72,NA
"202","TROP_RF","Croton bilbergianus","T",NA,NA
"203","TROP_RF","Hyeronima alcheornoides","T",0.82,NA
"204","TROP_RF","Sapium aucuparium","T",0.72,NA
"205","TROP_RF","Casearia arborea","T",0.94,NA
"206","TROP_RF","Zuelania guidonia","T",0.85,NA
"207","TROP_RF","Calophyllum longifolium","T",1.54,NA
"208","TROP_RF","Miconia argentea","T",0.95,NA
"209","TROP_RF","Guarea glabra","T",1.48,NA
"210","TROP_RF","Guarea multiflora","T",1.53,NA
"211","TROP_RF","Trichilia cipo","T",1.51,NA
"212","TROP_RF","Cecropia insignis","T",0.67,NA
"213","TROP_RF","Cecropia obtusifolia","T",0.6,NA
"214","TROP_RF","Poulsenia armata","T",1.45,NA
"215","TROP_RF","Virola sebifera","T",1.38,NA
"216","TROP_RF","Alseis blackiana","T",1.01,NA
"217","TROP_RF","Faramea occidentalis","T",NA,NA
"218","TROP_RF","Macrocnemum glabrescens","T",0.96,NA
"219","TROP_RF","Zanthoxylum ekmanii","T",0.67,NA
"220","TROP_RF","Zanthoxylum panamense","T",0.88,NA
"221","TROP_RF","Cupania rufescens","T",1.32,NA
"222","TROP_RF","Cupania sylvatica","T",1.48,NA
"223","TROP_RF","Chrysophyllum argenteum","T",0.93,NA
"224","TROP_RF","Pouteria reticulata","T",1.43,NA
"225","TROP_RF","Simarouba amara","T",1.04,NA
"226","TROP_RF","Apeiba aspera","T",0.77,NA
"227","TROP_RF","Apeiba tibourbou","T",0.59,NA
"228","TROP_RF","Luehea seemannii","T",0.69,NA
"229","TROP_RF","Trema micrantha","T",0.81,NA
"230","WLAND","Acer platanoides","T",NA,1.76
"231","WLAND","Acer pseudoplatanus","T",NA,1.88
"232","WLAND","Aesculus hippocastanum","T",NA,1.86
"233","WLAND","Alnus glutinosa","T",NA,1.84
"234","WLAND","Arbutus unedo","S",NA,1.97
"235","WLAND","Berberis vulgaris","S",NA,1.88
"236","WLAND","Betula pendula","T",NA,1.86
"237","WLAND","Buddleja davidii","S",NA,1.91
"238","WLAND","Buxus sempervirens","S",NA,2.04
"239","WLAND","Calluna vulgaris","S",NA,1.78
"240","WLAND","Castanea sativa","T",NA,1.88
"241","WLAND","Cornus sanguinea","S",NA,1.79
"242","WLAND","Corylus avellana","T",NA,1.83
"243","WLAND","Crataegus monogyna","S",NA,1.94
"244","WLAND","Cytisus scoparius","S",NA,1.79
"245","WLAND","Daphne mezereum","S",NA,1.65
"246","WLAND","Dryas octopetala","S",NA,1.81
"247","WLAND","Empetrum nigrum","S",NA,2
"248","WLAND","Erica cinera","S",NA,1.95
"249","WLAND","Euonymus europaeus","T",NA,1.81
"250","WLAND","Fagus sylvatica","T",NA,1.91
"251","WLAND","Frangula alnus","S",NA,1.68
"252","WLAND","Fraxinus excelsior","T",NA,1.89
"253","WLAND","Hebe x franciscana","S",NA,1.94
"254","WLAND","Hedera helix","V",NA,1.86
"255","WLAND","Helianthemum nummularium","S",NA,1.88
"256","WLAND","Hippophae rhamnoides","S",NA,1.9
"257","WLAND","Ilex aquifolium","T",NA,2.11
"258","WLAND","Juglans regia","T",NA,1.84
"259","WLAND","Laburnum anagyroides","T",NA,1.75
"260","WLAND","Larix decidua","T",NA,2.04
"261","WLAND","Ligustrum vulgare","S",NA,2
"262","WLAND","Lonicera periclymenum","V",NA,1.85
"263","WLAND","Malus sylvestris","T",NA,1.93
"264","WLAND","Picea sitchensis","T",NA,2.19
"265","WLAND","Pinus sylvestris","T",NA,2.15
"266","WLAND","Prunus laurocerasus","S",NA,2.08
"267","WLAND","Prunus lusitanica","S",NA,2.15
"268","WLAND","Prunus spinosa","S",NA,1.84
"269","WLAND","Quercus cerris","T",NA,2
"270","WLAND","Quercus ilex","T",NA,2.2
"271","WLAND","Quercus petraea","T",NA,1.87
"272","WLAND","Quercus robur","T",NA,1.88
"273","WLAND","Quercus rubra","T",NA,1.76
"274","WLAND","Rhamnus cathartica","S",NA,1.74
"275","WLAND","Rhododendron ponticum","S",NA,2.07
"276","WLAND","Ribes nigrum","S",NA,1.82
"277","WLAND","Ribes uva-crispa","S",NA,1.78
"278","WLAND","Robinia pseudoacacia","T",NA,1.7
"279","WLAND","Rosa arvensis","V",NA,1.65
"280","WLAND","Rubus fruticosus","V",NA,1.81
"281","WLAND","Salix caprea","T",NA,1.84
"282","WLAND","Sambucus nigra","S",NA,1.72
"283","WLAND","Solanum dulcamara","V",NA,1.43
"284","WLAND","Sorbus aucuparia","T",NA,1.86
"285","WLAND","Taxus baccata","T",NA,2.07
"286","WLAND","Thymus polytrichus","S",NA,1.8
"287","WLAND","Ulex europaeus","S",NA,1.95
"288","WLAND","Ulex gallii","S",NA,2.14
"289","WLAND","Ulmus glabra","T",NA,1.88
"290","WLAND","Vaccinium myrtillus","S",NA,1.74
"291","WLAND","Vaccinium oxycoccos","S",NA,2
"292","WLAND","Vaccinium vitis-idaea","S",NA,2.14
"293","WLAND","Viburnum opulus","S",NA,1.8
"294","WLAND","Viburnum tinus","S",NA,2.07
"295","WLAND","Amelanchier alnifolia","T",NA,2.03
"296","WLAND","Artemisia tridentata","S",NA,2.23
"297","WLAND","Juniperus osteosperma","T",NA,2.81
"298","WLAND","Pinus jeffreyi","T",NA,2.52
"299","WLAND","Pinus monophylla","T",NA,2.87
"300","WLAND","Pinus ponderosa","T",NA,2.5
"301","WLAND","Purshia tridentata","S",NA,NA
"302","WLAND","Lyonia lucida","S",1.26,2.24
"303","WLAND","Cyrilla racemiflora","S",1.26,2.01
"304","WLAND","Leucothoe racemosa","S",0.81,1.95
"305","WLAND","Itea virginica","S",0.81,1.85
"306","WLAND","Clethra alnifolia","S",0.81,1.93
"307","ALPINE","Achillea erba","H",0.36,1.65
"308","ALPINE","Arabis alpina","H",NA,1.58
"309","ALPINE","Arabis caerulea","H",NA,1.68
"310","ALPINE","Artemisia genipi","H",NA,1.62
"311","ALPINE","Campanula barbata","H",NA,1.72
"312","ALPINE","Cerastium uniflorum","H",NA,1.5
"313","ALPINE","Doronicum clusii","H",0.25,1.69
"314","ALPINE","Erigeron uniflorus","H",0.41,1.68
"315","ALPINE","Gentiana bavarica","H",NA,1.77
"316","ALPINE","Gentiana kochiana","H",NA,1.82
"317","ALPINE","Geum montanum","H",0.32,1.85
"318","ALPINE","Geum reptans","H",0.48,1.85
"319","ALPINE","Leontodon hispidus","H",NA,1.7
"320","ALPINE","Leucanthemopsis alpina","H",0.42,1.8
"321","ALPINE","Ligusticum mutellina","H",0.4,1.9
"322","ALPINE","Linaria alpina","H",NA,1.6
"323","ALPINE","Luzula alpino-pilosa","G",0.28,1.83
"324","ALPINE","Oxyria digyna","H",0.2,1.41
"325","ALPINE","Pedicularis asplenifolius","H",0.3,1.72
"326","ALPINE","Poa laxa","G",NA,1.6
"327","ALPINE","Polygonum viviparum","H",0.13,1.85
"328","ALPINE","Potentilla aurea","H",NA,1.68
"329","ALPINE","Potentilla crantzii","H",0.38,1.78
"330","ALPINE","Potentilla frigida","H",NA,1.72
"331","ALPINE","Primula glutinosa","H",0.4,1.86
"332","ALPINE","Ranunculus glacialis","H",0.49,1.79
"333","ALPINE","Senecio incanus","H",NA,1.82
"334","ALPINE","Sibbaldia procumbens","H",NA,1.77
"335","ALPINE","Taraxacum alpinum","H",0.34,1.56
"336","ALPINE","Veronica alpestris","H",NA,1.57
"337","ALPINE","Veronica bellidioides","H",NA,2
"338","ALPINE","Achillea millefolium","H",0.14,1.72
"339","ALPINE","Alchemilla verticillata","H",NA,1.43
"340","ALPINE","Arabis hirsuta","H",NA,1.7
"341","ALPINE","Caltha palustris","H",0.41,1.51
"342","ALPINE","Campanula glomerata","H",NA,1.57
"343","ALPINE","Carum carvi","H",0.3,1.58
"344","ALPINE","Cerastium arvense","H",NA,2
"345","ALPINE","Chrysanthemum leucanthemum","H",0.34,1.72
"346","ALPINE","Erigeron acre","H",NA,1.75
"347","ALPINE","Geum rivale","H",0.46,1.72
"348","ALPINE","Leontodon hispidus","H",NA,1.64
"349","ALPINE","Lychnis flos-jovis","H",NA,1.65
"350","ALPINE","Polygonum bistorta","H",NA,1.57
"351","ALPINE","Potentilla anserina","H",0.27,1.72
"352","ALPINE","Potentilla reptans","H",NA,1.54
"353","ALPINE","Potentilla verna","H",NA,1.77
"354","ALPINE","Primula elatior","H",0.49,1.62
"355","ALPINE","Primula farinosa","H",NA,1.65
"356","ALPINE","Ranunculus acris","H",0.26,1.8
"357","ALPINE","Ranunculus bulbosus","H",NA,1.75
"358","ALPINE","Ranunculus ficaria","H",NA,1.51
"359","ALPINE","Ranunculus nemorosus","H",NA,1.83
"360","ALPINE","Taraxacum officinale","H",0.34,1.54
"361","ALPINE","Trifolium repens","H",0.3,1.53
"362","ALPINE","Veronica chamaedrys","H",NA,1.51
"363","ALPINE","Castilleja sp","H",NA,1.82
"364","ALPINE","Geranium sp","H",NA,1.78
"365","ALPINE","Lachemilla sp","H",NA,1.97
"366","ALPINE","Lupinus sp","H",NA,1.72
"367","ALPINE","Plantago lanceolata","H",NA,1.77
"368","ALPINE","Taraxacum officinale","H",NA,1.52
"369","ALPINE","Trifolium repens","H",NA,1.6
"370","ALPINE","Baccharis arbutifolia","S",0.43,1.98
"371","ALPINE","Bomarea glaucescens","G",NA,2.06
"372","ALPINE","Calamagrostis intermedia","G",NA,2.3
"373","ALPINE","Carex pichinchensis","G",NA,1.94
"374","ALPINE","Chuquiraga jussieui","S",0.81,2.15
"375","ALPINE","Diplostephium rupestre","S",0.59,2.19
"376","ALPINE","Geranium confertum","H",0.53,1.9
"377","ALPINE","Gunnera magellanica","H",NA,2.04
"378","ALPINE","Gynoxis sp","S",0.98,2.23
"379","ALPINE","Halenia weddelifolia","H",NA,1.94
"380","ALPINE","Loricaria ilinissae","S",1.34,2.3
"381","ALPINE","Lupinus kunthii","H",0.54,1.92
"382","ALPINE","Luzula gigantea","G",NA,1.77
"383","ALPINE","Niphogeton dissecta","H",0.81,2.1
"384","ALPINE","Plantago rigida","H",NA,2.21
"385","ALPINE","Ranunculus peruvianus","H",0.54,1.84
"386","ALPINE","Senecio comosus","H",0.53,1.83
"387","ALPINE","Valeriana pilosa","H",1.01,2.09
"388","ALPINE","Werneria nubigena","H",0.94,2.26
"389","ALPINE","Aa sp","H",NA,2.03
"390","ALPINE","Agrostis nigritella","G",NA,1.97
"391","ALPINE","Astragalus geminiflorus","H",NA,2.13
"392","ALPINE","Azorella pedunculata","H",NA,2.11
"393","ALPINE","Calandrinia acaulis","H",NA,2
"394","ALPINE","Cerastium mollissimum","H",0.59,1.81
"395","ALPINE","Culcitium canescens","H",NA,2.44
"396","ALPINE","Culcitium nivale","H",0.81,2.37
"397","ALPINE","Culcitium reflexum","H",NA,2.23
"398","ALPINE","Draba aretioides","H",NA,1.88
"399","ALPINE","Erigeron ecuadoriensis","H",0.95,1.82
"400","ALPINE","Gentianella numularifolia","H",NA,1.81
"401","ALPINE","Hypochoeris sonchoides","H",0.76,1.94
"402","ALPINE","Lachemilla orbiculata","H",NA,2.11
"403","ALPINE","Luzula racemosa","G",0.82,2.01
"404","ALPINE","Nototriche phyllanthos","H",0.84,1.94
"405","ALPINE","Oreomyrrhis andicola","H",0.74,2.04
"406","ALPINE","Plantago nubigena","H",1.03,2.2
"407","ALPINE","Rumex acetosella","H",NA,1.83
"408","ALPINE","Silene thysanodes","H",0.88,1.88
"409","ALPINE","Werneria humilis","H",NA,1.99
"410","ALPINE","Werneria nubigena","H",NA,2.2
"411","ALPINE","Werneria pumila","H",0.68,2.23
"412","ALPINE","Bromus lanatus","G",NA,1.93
"413","ALPINE","Castilleja fissifolia","H",NA,1.68
"414","ALPINE","Cerastium mollissimum","H",NA,1.77
"415","ALPINE","Culcitium reflexum","H",NA,2.29
"416","ALPINE","Viola sp","H",NA,1.87
"417","WLAND","Arbutus menziesii","S",NA,2.09
"418","WLAND","Heteromeles arbutifolia","S",NA,2.36
"419","WLAND","Prunus ilicifolia","S",NA,2.2
"420","WLAND","Rhamnus californica","S",NA,2.03
"421","WLAND","Umbellularia californica","S",NA,2.12
"422","TROP_FOR","Didymopanax macrocarpum","T",NA,NA
"423","TROP_FOR","Qualea grandiflora","T",NA,NA
"424","TROP_FOR","Miconia fallax","S",NA,NA
"425","TROP_FOR","Roupala montana","S",NA,NA
"426","TROP_FOR","Ouratea hexasperma","S",NA,NA
"427","GRASS/M","Acer monspessulanum","T",NA,1.92
"428","GRASS/M","Aegilops geniculata","G",NA,1.57
"429","GRASS/M","Aegilops ovata","G",NA,1.64
"430","GRASS/M","Avena barbata","G",NA,1.61
"431","GRASS/M","Avenula bromoides","G",NA,1.74
"432","GRASS/M","Brachypodium distachyon","G",NA,1.48
"433","GRASS/M","Brachypodium phoenicoides","G",NA,1.8
"434","GRASS/M","Brachypodium retusum","G",NA,1.74
"435","GRASS/M","Bromus erectus","G",NA,1.74
"436","GRASS/M","Bromus lanceolatus","G",NA,1.59
"437","GRASS/M","Bromus madritiensis","G",NA,1.43
"438","GRASS/M","Bupleurum rigidum","H",NA,2.03
"439","GRASS/M","Buxus sempervirens","S",NA,2.21
"440","GRASS/M","Calamintha nepeta","S",NA,1.58
"441","GRASS/M","Clematis vitalba","V",NA,1.56
"442","GRASS/M","Convolvulus arvensis","H",NA,1.64
"443","GRASS/M","Crepis sancta","H",NA,1.58
"444","GRASS/M","Crepis vesicaria","H",NA,1.74
"445","GRASS/M","Dactylis glomerata","G",NA,1.65
"446","GRASS/M","Daucus carota","H",NA,1.89
"447","GRASS/M","Desmazeria rigida","G",NA,1.63
"448","GRASS/M","Dichanthium ischaemum","G",NA,1.54
"449","GRASS/M","Kickxia spuria","H",NA,1.46
"450","GRASS/M","Medicago minima","H",NA,1.48
"451","GRASS/M","Melica ciliata","G",NA,1.63
"452","GRASS/M","Phillyrea latifolia","S",NA,2.12
"453","GRASS/M","Phleum pratense","G",NA,1.57
"454","GRASS/M","Pistacia terebinthus","T",NA,1.97
"455","GRASS/M","Plantago lanceloata","H",NA,1.8
"456","GRASS/M","Psoralea bituminosa","S",NA,1.72
"457","GRASS/M","Quercus ilex","T",NA,2.17
"458","GRASS/M","Quercus pubescens","T",NA,2
"459","GRASS/M","Rubia peregrina","S",NA,1.85
"460","GRASS/M","Rubus sp","S",NA,1.77
"461","GRASS/M","Sanguisorba minor","H",NA,1.75
"462","GRASS/M","Scabiosa atropurpurea","H",NA,1.92
"463","GRASS/M","Urospermum dalechampii","H",NA,1.5
"464","GRASS/M","Viburnum tinus","S",NA,1.96
"465","GRASS/M","Acer monspessulanum","T",0.76,1.84
"466","GRASS/M","Aristolochia rotunda","V",NA,1.56
"467","GRASS/M","Brachypodium phoenicoides","G",0.71,1.74
"468","GRASS/M","Calamintha nepeta","S",NA,1.54
"469","GRASS/M","Crataegus monogyna","S",0.68,1.85
"470","GRASS/M","Dactylis glomerata","G",NA,1.55
"471","GRASS/M","Dorycnium pentaphyllum","H",0.75,1.74
"472","GRASS/M","Helianthemum nummularium","S",NA,1.82
"473","GRASS/M","Lavandula latifolia","S",NA,1.91
"474","GRASS/M","Pistacia terebinthus","T",NA,1.84
"475","GRASS/M","Plantago lanceloata","H",0.65,1.7
"476","GRASS/M","Psoralea bituminosa","S",NA,1.71
"477","GRASS/M","Quercus pubescens","T",NA,1.97
"478","GRASS/M","Rubia peregrina","S",0.68,1.79
"479","GRASS/M","Rubus sp","S",0.82,1.73
"480","GRASS/M","Scabiosa atropurpurea","H",NA,1.87
"481","GRASS/M","Teuchrium chamaedrys","S",0.85,1.84
"482","GRASS/M","Viburnum tinus","S",1.08,1.79
"483","GRASS/M","Acer monspessulanum","T",NA,1.9
"484","GRASS/M","Aegilops geniculata","G",0.32,1.64
"485","GRASS/M","Agropyron sp","G",NA,1.56
"486","GRASS/M","Anagallis arvensis","H",NA,1.4
"487","GRASS/M","Aristolochia rotunda","V",NA,1.69
