legend_year,PFT,CLASS,SUBCLASS,CLASS_desc,SUBCLASS_desc,is_agricultural,harmonized_SUBCLASS,crops_included
2021,row,T,9,"Truck, nursery, and berry crops","Melons, squash, cucumbers",TRUE,9,"Cantaloupe, cucumber, gourd, honeydew, melon, pumpkin, spaghetti squash, squash, watermelon, yellow squash, zucchini, mixed cucurbits"
2021,row,T,10,"Truck, nursery, and berry crops",Onions & garlic,TRUE,10,""
2016,row,T,11,"Truck, nursery, and berry crops",Peas,TRUE,18,""
2021,row,T,12,"Truck, nursery, and berry crops",Potatoes,TRUE,12,""
2021,row,T,13,"Truck, nursery, and berry crops",Sweet potatoes,TRUE,13,""
2016,row,T,14,"Truck, nursery, and berry crops",Spinach,TRUE,30,""
2016,row,T,15,"Truck, nursery, and berry crops",Tomatoes (processing),TRUE,32,""
2021,row,T,16,"Truck, nursery, and berry crops","Flowers, nursery, Christmas trees",TRUE,16,"Cannabis, Christmas trees, cut flowers, lavender, Mexican fan palm, ornamental nursery, crop transplant nursery, tree nursery"
2016,row,T,17,"Truck, nursery, and berry crops",Mixed (>=4 crops),TRUE,18,""
2021,row,T,18,"Truck, nursery, and berry crops",Miscellaneous truck,TRUE,18,"Artichoke, Asian leafy vegetables, asparagus, basil, beet, bok choy, broccoli rabe, celery, chard, Chinese cabbage, chives, cilantro, eggplant, fennel, green bean, leek, lemongrass, okra, other herbs, parsley, parsnip, pea, radish, tomatillo, turnip, mixed truck; former T1 T2 T3 T7 T11 T17 T29"
2021,woody,T,19,"Truck, nursery, and berry crops",Bush berries,TRUE,19,""
2021,row,T,20,"Truck, nursery, and berry crops",Strawberries,TRUE,20,""
2021,row,T,21,"Truck, nursery, and berry crops",Peppers,TRUE,21,""
2016,row,T,22,"Truck, nursery, and berry crops",Broccoli,TRUE,4,""
2016,row,T,23,"Truck, nursery, and berry crops",Cabbage,TRUE,4,""
2016,row,T,24,"Truck, nursery, and berry crops",Cauliflower,TRUE,4,""
2016,row,T,25,"Truck, nursery, and berry crops",Brussels sprouts,TRUE,4,""
2016,row,T,26,"Truck, nursery, and berry crops",Tomatoes (market),TRUE,32,""
2021,row,T,27,"Truck, nursery, and berry crops",Greenhouse,TRUE,27,""
2016,woody,T,28,"Truck, nursery, and berry crops",Blueberries,TRUE,19,""
2016,row,T,29,"Truck, nursery, and berry crops",Asian leafy vegetables,TRUE,18,""
2021,row,T,30,"Truck, nursery, and berry crops",Lettuce or leafy greens (grouped for RS only),TRUE,30,"Arugula, leaf lettuce, head lettuce, shaved lettuce, spinach, spring mix; former T8 T14"
2016,row,T,31,"Truck, nursery, and berry crops",Potato or sweet potato (grouped for RS only),TRUE,31,""
2021,row,T,32,"Truck, nursery, and berry crops",Tomatoes,TRUE,32,"Fresh market tomato, processing tomato; former T15 T26"
2021,row,T,**,"Truck, nursery, and berry crops",(no subclass),TRUE,**,""
2021,woody,D,1,Deciduous fruits and nuts,Apples,TRUE,1,""
2021,woody,D,2,Deciduous fruits and nuts,Apricots,TRUE,2,""
2021,woody,D,3,Deciduous fruits and nuts,Cherries,TRUE,3,""
2021,woody,D,5,Deciduous fruits and nuts,Peaches and nectarines,TRUE,5,""
2021,woody,D,6,Deciduous fruits and nuts,Pears,TRUE,6,""
2021,woody,D,7,Deciduous fruits and nuts,Plums,TRUE,7,""
2021,woody,D,8,Deciduous fruits and nuts,Prunes,TRUE,8,""
2016,woody,D,9,Deciduous fruits and nuts,Figs,TRUE,10,""
2021,woody,D,10,Deciduous fruits and nuts,Miscellaneous deciduous,TRUE,10,"Chestnuts, figs, hazelnuts, jujube, persimmons, mixed deciduous; former D9 D11"
2016,woody,D,11,Deciduous fruits and nuts,Mixed deciduous,TRUE,10,""
2021,woody,D,12,Deciduous fruits and nuts,Almonds,TRUE,12,""
2021,woody,D,13,Deciduous fruits and nuts,Walnuts,TRUE,13,""
2021,woody,D,14,Deciduous fruits and nuts,Pistachios,TRUE,14,""
2021,woody,D,15,Deciduous fruits and nuts,Pomegranates,TRUE,15,""
2016,woody,D,16,Deciduous fruits and nuts,Plums/Prunes/Apricots (grouped for RS),TRUE,16,""
2021,woody,D,17,Deciduous fruits and nuts,Pecans,TRUE,17,""
2021,woody,D,**,Deciduous fruits and nuts,(no subclass),TRUE,**,""
2016,woody,C,1,Citrus and subtropical,Grapefruit,TRUE,**,""
2016,woody,C,2,Citrus and subtropical,Lemons,TRUE,**,""
2016,woody,C,3,Citrus and subtropical,Oranges,TRUE,**,""
2021,woody,C,4,Citrus and subtropical,Dates,TRUE,4,""
2021,woody,C,5,Citrus and subtropical,Avocados,TRUE,5,""
2021,woody,C,6,Citrus and subtropical,Olives,TRUE,6,""
2021,woody,C,7,Citrus and subtropical,Miscellaneous subtropical fruits,TRUE,7,"Cactus, cherimoya, guava, jojoba, mango, Mexican hawthorn, moringa, mixed subtropical fruits; former C9 C11"
2021,woody,C,8,Citrus and subtropical,Kiwis,TRUE,8,""
2016,woody,C,9,Citrus and subtropical,Jojoba,TRUE,7,""
2021,woody,C,10,Citrus and subtropical,Eucalyptus,TRUE,10,""
2016,woody,C,11,Citrus and subtropical,Mixed subtropical fruits,TRUE,7,""
2021,woody,C,**,Citrus and subtropical,(no subclass),TRUE,**,"Clementine, grapefruit, kumquat, lemon, lime, orange, mixed citrus, pomelo, tangelo, tangerine; former C1 C2 C3"
2016,woody,V,1,Vineyards,Table grapes,TRUE,**,""
2016,woody,V,2,Vineyards,Wine grapes,TRUE,**,""
2016,woody,V,3,Vineyards,Raisin grapes,TRUE,**,""
2021,woody,V,**,Vineyards,Vineyard (subclass not specified in tabular data),TRUE,**,"Raisin grapes, table grapes, wine grapes; former V1 V2 V3"
2021,woody,YP,**,Young Perennial,(no subclass),TRUE,**,""
2021,other,X,**,Unclassified fallow,(no subclass),TRUE,**,""
2021,other,I,1,Idle,Land not cropped (recently cropped),TRUE,1,""
2016,other,I,2,Idle,New lands prepped for production,TRUE,1,""
2021,other,I,4,Idle,Long-term idle (>=4 years),TRUE,4,""
2021,other,I,**,Idle,(no subclass),TRUE,**,""
2021,noncrop,S,1,Semi-agricultural & incidental to agriculture,Farmsteads (with residence),FALSE,1,""
2021,noncrop,S,2,Semi-agricultural & incidental to agriculture,Livestock feed lot operations,FALSE,2,""
2021,noncrop,S,3,Semi-agricultural & incidental to agriculture,Dairies,FALSE,3,""
2021,noncrop,S,4,Semi-agricultural & incidental to agriculture,Poultry farms,FALSE,4,""
2021,noncrop,S,5,Semi-agricultural & incidental to agriculture,Farmsteads (without residence),FALSE,5,""
2021,noncrop,S,6,Semi-agricultural & incidental to agriculture,Miscellaneous semi-agricultural,FALSE,6,""
2021,noncrop,U,**,Urban (residential commercial industrial unsegregated),(no subclass),FALSE,**,""
2021,noncrop,UR,1,Urban residential,Single family dwellings (low density),FALSE,1,""
2021,noncrop,UR,2,Urban residential,Single family dwellings (higher density),FALSE,2,""
2021,noncrop,UR,3,Urban residential,"Multi-family (apartments, condos, etc.)",FALSE,3,""
2021,noncrop,UR,4,Urban residential,Trailer courts,FALSE,4,""
2021,noncrop,UC,1,Urban commercial,"Offices, retailers",FALSE,1,""
2021,noncrop,UC,2,Urban commercial,Hotels,FALSE,2,""
2021,noncrop,UC,3,Urban commercial,Motels,FALSE,3,""
2021,noncrop,UC,4,Urban commercial,"Recreation vehicle parking, campsites",FALSE,4,""
2021,noncrop,UC,5,Urban commercial,"Institutions (hospitals, prisons, etc.)",FALSE,5,""
2021,noncrop,UC,6,Urban commercial,Schools,FALSE,6,""
2021,noncrop,UC,7,Urban commercial,"Theaters, churches, stadiums, amusement",FALSE,7,""
2021,noncrop,UC,8,Urban commercial,Miscellaneous high-water use commercial,FALSE,8,""
2021,noncrop,UI,1,Urban industrial,"Manufacturing, assembling, processing",FALSE,1,""
2021,noncrop,UI,2,Urban industrial,"Extractive industries (oil, quarries, etc.)",FALSE,2,""
2021,noncrop,UI,3,Urban industrial,Storage and distribution,FALSE,3,""
2021,noncrop,UI,6,Urban industrial,Saw mills,FALSE,6,""
2021,noncrop,UI,7,Urban industrial,Oil refineries,FALSE,7,""
2021,noncrop,UI,8,Urban industrial,Paper mills,FALSE,8,""
2021,noncrop,UI,9,Urban industrial,Meat packing plants,FALSE,9,""
2021,noncrop,UI,10,Urban industrial,Steel/aluminum mills,FALSE,10,""
2021,noncrop,UI,11,Urban industrial,"Food processing (canning, etc.)",FALSE,11,""
2021,noncrop,UI,12,Urban industrial,Miscellaneous high-water use industrial,FALSE,12,""
2021,noncrop,UI,13,Urban industrial,Sewage treatment plants,FALSE,13,""
2021,noncrop,UI,14,Urban industrial,"Waste sites (dumps, landfills, hazardous)",FALSE,14,""
2021,noncrop,UI,15,Urban industrial,"Wind farms, solar farms",FALSE,15,""
2021,noncrop,UL,1,Urban landscape,Lawn area irrigated,FALSE,1,""
2021,noncrop,UL,2,Urban landscape,Golf course irrigated,FALSE,2,""
2021,noncrop,UL,3,Urban landscape,Ornamental landscape irrigated,FALSE,3,""
2021,noncrop,UL,4,Urban landscape,Cemeteries irrigated,FALSE,4,""
2021,noncrop,UL,5,Urban landscape,Cemeteries not irrigated,FALSE,5,""
2021,noncrop,UV,1,Urban vacant,"Unpaved areas, vacant lots",FALSE,1,""
2021,noncrop,UV,3,Urban vacant,Railroad right of way,FALSE,3,""
2021,noncrop,UV,4,Urban vacant,"Paved areas, parking lots",FALSE,4,""
2021,noncrop,UV,6,Urban vacant,Airport runways,FALSE,6,""
2021,noncrop,UV,7,Urban vacant,Non-developable urban land,FALSE,7,""
2021,noncrop,NC,**,Native classes unsegregated,(no subclass),FALSE,**,""
2021,noncrop,NV,1,Native vegetation,Grassland,FALSE,1,""
2021,noncrop,NV,2,Native vegetation,Light brush,FALSE,2,""
2021,noncrop,NV,3,Native vegetation,Medium brush,FALSE,3,""
2021,noncrop,NV,4,Native vegetation,Heavy brush,FALSE,4,""
2021,noncrop,NV,5,Native vegetation,Brush and timber,FALSE,5,""
2021,noncrop,NV,6,Native vegetation,Forest,FALSE,6,""
2021,noncrop,NV,7,Native vegetation,Oak woodland,FALSE,7,""
2021,noncrop,NR,1,Native riparian vegetation,"Marsh lands, tules, sedges",FALSE,1,""
2021,noncrop,NR,2,Native riparian vegetation,Natural high-water table meadow,FALSE,2,""
2021,noncrop,NR,3,Native riparian vegetation,Trees/shrubs streamside vegetation,FALSE,3,""
2021,noncrop,NR,4,Native riparian vegetation,Seasonal duck marsh,FALSE,4,""
2021,noncrop,NR,5,Native riparian vegetation,Permanent duck marsh,FALSE,5,""
2021,noncrop,NW,1,Water surface,River or stream,FALSE,1,""
2021,noncrop,NW,2,Water surface,Irrigation/urban water channels,FALSE,2,""
2021,noncrop,NW,3,Water surface,Drainage water channels,FALSE,3,""
2021,noncrop,NW,4,Water surface,"Freshwater lake, reservoir, pond",FALSE,4,""
2021,noncrop,NW,5,Water surface,Brackish/saline water,FALSE,5,""
2021,noncrop,NW,6,Water surface,Wastewater pond,FALSE,6,""
2021,noncrop,NW,7,Water surface,Paved flood channels (urban),FALSE,7,""
2021,noncrop,NB,1,Barren and wasteland,Dry stream channels,FALSE,1,""
2021,noncrop,NB,2,Barren and wasteland,Mine tailings,FALSE,2,""
2021,noncrop,NB,3,Barren and wasteland,Barren land,FALSE,3,""
2021,noncrop,NB,4,Barren and wasteland,Salt flats,FALSE,4,""
2021,noncrop,NB,5,Barren and wasteland,Sand dunes,FALSE,5,""
2021,noncrop,NS,**,Not surveyed,(no subclass),FALSE,**,""
2021,noncrop,E,**,Entry denied,(no subclass),FALSE,**,""
2021,noncrop,Z,**,Outside study area,(no subclass),FALSE,**,""
