t 0,NEE_2       ,72, NEE: conductance-based carbon flux, micromol/m^2/s,
t 0,npp         ,73, Net Primary Productivity, micromol/m^2/s,
t 0,resp_grnd   ,74, ground respiration, micromol/m^2/s,
t 0,resp_tot    ,75, total respiration, micromol/m^2/s,
t 0,resp_auto   ,76, autotrophic respiration, micromol/m^2/s,
t 0,resp_het    ,77, heterotrophic respiration, micromol/m^2/s,
t 0,rstfac1     ,78, RSTFAC1: Humidity stress factor, -,
t 0,rstfac2     ,79, RSTFAC2: Water stress factor, -,
t 0,rstfac3     ,80, RSTFAC3: Temperature stress factor, -,
t 0,carb_above  ,81, above ground wood and starch biomass, moles/m2,
t 0,pco2m       ,82, Boundary layer CO2 concentration, ppmv,
t 0,zlt         ,83, Leaf Area Index from ndvi, m2/m2,
t 0,LAI         ,84, Leaf Area Index from prognostic leaf pool, m2/m2
t 0,lai_chi_sqr ,85, chi squared stat between sim/obs LAI, -,
t 0,lai_err     ,86, lai uncertainty, m2/m2,
t 0,aparc       ,87, absorbed fraction of PAR from NDVI,-,
t 0,fpar        ,88, absorbed fraction of PAR from prognostic leaf pool,-,
t 0,carb_al     ,89, total carbon in the active layer, mole/m2,
t 0,dperm_top   ,90, depth to top of permafrost carbon layer, m,
t 0,OLT         ,91, Organic Layer thickness,m,
t 0,resp_perm   ,92, heterotrophic respiration from frozen permafrost carbon, mol m^-2 sec^-1,
t 0,resp_al     ,93, heterotrophic respiration from active layer, mol m^-2 sec^-1,
t 0,carb_perm   ,94, total frozen permafrost carbon all pools, mole/m2,
t 0,carb_froz   ,95, total frozen soil carbon all pools, mole/m2,
t 0,carb_thaw   ,96, total thawed soil carbon all pools,mole/m2,
t 0,resp_meth   ,97, methane flux, micromol/m^2/s,
t 0,soil_frz    ,98, frozen soil growth/photosynthesis scaling factor,-,
