"package","version","needed_by_dir","type","is_pecan"
"PEcAn.benchmark","*","base/all","Depends",TRUE
"PEcAn.benchmark","*","modules/assim.batch","Imports",TRUE
"PEcAn.benchmark","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.benchmark","*","modules/data.land","Imports",TRUE
"PEcAn.BIOCRO","*","base/all","Suggests",TRUE
"PEcAn.BIOCRO","*","base/qaqc","Suggests",TRUE
"PEcAn.DALEC","*","base/all","Suggests",TRUE
"PEcAn.data.atmosphere","*","base/all","Depends",TRUE
"PEcAn.data.atmosphere","*","base/workflow","Imports",TRUE
"PEcAn.data.atmosphere","*","models/basgra","Imports",TRUE
"PEcAn.data.atmosphere","*","models/biocro","Imports",TRUE
"PEcAn.data.atmosphere","*","models/ed","Imports",TRUE
"PEcAn.data.atmosphere","*","models/jules","Imports",TRUE
"PEcAn.data.atmosphere","*","models/ldndc","Imports",TRUE
"PEcAn.data.atmosphere","*","models/linkages","Imports",TRUE
"PEcAn.data.atmosphere","*","models/maat","Imports",TRUE
"PEcAn.data.atmosphere","*","models/maespa","Imports",TRUE
"PEcAn.data.atmosphere","*","models/preles","Imports",TRUE
"PEcAn.data.atmosphere","*","models/sipnet","Depends",TRUE
"PEcAn.data.atmosphere","*","modules/data.land","Imports",TRUE
"PEcAn.data.land","*","base/all","Depends",TRUE
"PEcAn.data.land","*","base/workflow","Imports",TRUE
"PEcAn.data.land","*","models/biocro","Imports",TRUE
"PEcAn.data.land","*","models/ed","Imports",TRUE
"PEcAn.data.land","*","models/ldndc","Imports",TRUE
"PEcAn.data.land","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.data.land","*","modules/benchmark","Suggests",TRUE
"PEcAn.data.remote","*","base/all","Depends",TRUE
"PEcAn.data.remote","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.DB","*","base/all","Depends",TRUE
"PEcAn.DB","*","base/qaqc","Imports",TRUE
"PEcAn.DB","*","base/settings","Imports",TRUE
"PEcAn.DB","*","base/workflow","Imports",TRUE
"PEcAn.DB","*","models/biocro","Suggests",TRUE
"PEcAn.DB","*","models/template","Imports",TRUE
"PEcAn.DB","*","modules/allometry","Imports",TRUE
"PEcAn.DB","*","modules/assim.batch","Imports",TRUE
"PEcAn.DB","*","modules/assim.sequential","Imports",TRUE
"PEcAn.DB","*","modules/benchmark","Imports",TRUE
"PEcAn.DB","*","modules/data.atmosphere","Imports",TRUE
"PEcAn.DB","*","modules/data.land","Imports",TRUE
"PEcAn.DB","*","modules/data.remote","Imports",TRUE
"PEcAn.DB","*","modules/meta.analysis","Imports",TRUE
"PEcAn.DB","*","modules/uncertainty","Imports",TRUE
"PEcAn.ED2","*","base/all","Suggests",TRUE
"PEcAn.ED2","*","base/qaqc","Suggests",TRUE
"PEcAn.ED2","*","modules/rtm","Suggests",TRUE
"PEcAn.emulator","*","base/all","Depends",TRUE
"PEcAn.emulator","*","modules/assim.batch","Imports",TRUE
"PEcAn.emulator","*","modules/uncertainty","Imports",TRUE
"PEcAn.LINKAGES","*","base/all","Suggests",TRUE
"PEcAn.logger","*","base/all","Depends",TRUE
"PEcAn.logger","*","base/db","Imports",TRUE
"PEcAn.logger","*","base/qaqc","Imports",TRUE
"PEcAn.logger","*","base/remote","Imports",TRUE
"PEcAn.logger","*","base/settings","Imports",TRUE
"PEcAn.logger","*","base/utils","Imports",TRUE
"PEcAn.logger","*","base/visualization","Imports",TRUE
"PEcAn.logger","*","base/workflow","Imports",TRUE
"PEcAn.logger","*","models/basgra","Imports",TRUE
"PEcAn.logger","*","models/biocro","Imports",TRUE
"PEcAn.logger","*","models/cable","Imports",TRUE
"PEcAn.logger","*","models/clm45","Depends",TRUE
"PEcAn.logger","*","models/dalec","Imports",TRUE
"PEcAn.logger","*","models/dvmdostem","Imports",TRUE
"PEcAn.logger","*","models/ed","Imports",TRUE
"PEcAn.logger","*","models/fates","Imports",TRUE
"PEcAn.logger","*","models/gday","Imports",TRUE
"PEcAn.logger","*","models/jules","Imports",TRUE
"PEcAn.logger","*","models/ldndc","Imports",TRUE
"PEcAn.logger","*","models/linkages","Imports",TRUE
"PEcAn.logger","*","models/lpjguess","Imports",TRUE
"PEcAn.logger","*","models/maat","Imports",TRUE
"PEcAn.logger","*","models/maespa","Imports",TRUE
"PEcAn.logger","*","models/preles","Imports",TRUE
"PEcAn.logger","*","models/sibcasa","Imports",TRUE
"PEcAn.logger","*","models/sipnet","Imports",TRUE
"PEcAn.logger","*","models/stics","Imports",TRUE
"PEcAn.logger","*","models/template","Imports",TRUE
"PEcAn.logger","*","modules/assim.batch","Imports",TRUE
"PEcAn.logger","*","modules/assim.sequential","Imports",TRUE
"PEcAn.logger","*","modules/benchmark","Imports",TRUE
"PEcAn.logger","*","modules/data.atmosphere","Imports",TRUE
"PEcAn.logger","*","modules/data.land","Imports",TRUE
"PEcAn.logger","*","modules/data.remote","Imports",TRUE
"PEcAn.logger","*","modules/meta.analysis","Imports",TRUE
"PEcAn.logger","*","modules/priors","Imports",TRUE
"PEcAn.logger","*","modules/rtm","Imports",TRUE
"PEcAn.logger","*","modules/uncertainty","Imports",TRUE
"PEcAn.MA","*","base/all","Depends",TRUE
"PEcAn.MA","*","modules/assim.batch","Imports",TRUE
"PEcAn.MA","*","modules/priors","Imports",TRUE
"PEcAn.photosynthesis","*","base/all","Suggests",TRUE
"PEcAn.priors","*","base/all","Depends",TRUE
"PEcAn.priors","*","modules/uncertainty","Imports",TRUE
"PEcAn.remote","*","base/all","Depends",TRUE
"PEcAn.remote","*","base/db","Imports",TRUE
"PEcAn.remote","*","base/settings","Imports",TRUE
"PEcAn.remote","*","base/workflow","Imports",TRUE
"PEcAn.remote","*","models/biocro","Imports",TRUE
"PEcAn.remote","*","models/dalec","Imports",TRUE
"PEcAn.remote","*","models/ed","Imports",TRUE
"PEcAn.remote","*","models/fates","Imports",TRUE
"PEcAn.remote","*","models/gday","Imports",TRUE
"PEcAn.remote","*","models/jules","Imports",TRUE
"PEcAn.remote","*","models/ldndc","Imports",TRUE
"PEcAn.remote","*","models/linkages","Imports",TRUE
"PEcAn.remote","*","models/lpjguess","Imports",TRUE
"PEcAn.remote","*","models/maat","Imports",TRUE
"PEcAn.remote","*","models/maespa","Imports",TRUE
"PEcAn.remote","*","models/sipnet","Imports",TRUE
"PEcAn.remote","*","models/stics","Imports",TRUE
"PEcAn.remote","*","modules/assim.batch","Imports",TRUE
"PEcAn.remote","*","modules/assim.sequential","Imports",TRUE
"PEcAn.remote","*","modules/data.atmosphere","Imports",TRUE
"PEcAn.remote","*","modules/data.land","Imports",TRUE
"PEcAn.remote","*","modules/data.remote","Imports",TRUE
"PEcAn.settings","*","base/all","Depends",TRUE
"PEcAn.settings","*","base/workflow","Imports",TRUE
"PEcAn.settings","*","models/biocro","Imports",TRUE
"PEcAn.settings","*","models/ed","Imports",TRUE
"PEcAn.settings","*","models/maat","Imports",TRUE
"PEcAn.settings","*","models/stics","Imports",TRUE
"PEcAn.settings","*","modules/assim.batch","Imports",TRUE
"PEcAn.settings","*","modules/assim.sequential","Imports",TRUE
"PEcAn.settings","*","modules/benchmark","Imports",TRUE
"PEcAn.settings","*","modules/data.atmosphere","Suggests",TRUE
"PEcAn.settings","*","modules/data.land","Suggests",TRUE
"PEcAn.settings","*","modules/meta.analysis","Imports",TRUE
"PEcAn.settings","*","modules/uncertainty","Imports",TRUE
"PEcAn.SIPNET","*","base/all","Suggests",TRUE
"PEcAn.SIPNET","*","base/qaqc","Suggests",TRUE
"PEcAn.uncertainty","*","base/all","Depends",TRUE
"PEcAn.uncertainty","*","base/workflow","Imports",TRUE
"PEcAn.uncertainty","*","modules/assim.batch","Imports",TRUE
"PEcAn.uncertainty","*","modules/assim.sequential","Imports",TRUE
"PEcAn.utils","*","base/all","Depends",TRUE
"PEcAn.utils","*","base/db","Imports",TRUE
"PEcAn.utils","*","base/qaqc","Suggests",TRUE
"PEcAn.utils","*","base/settings","Imports",TRUE
"PEcAn.utils","*","base/workflow","Imports",TRUE
"PEcAn.utils","*","models/biocro","Imports",TRUE
"PEcAn.utils","*","models/clm45","Depends",TRUE
"PEcAn.utils","*","models/dalec","Imports",TRUE
"PEcAn.utils","*","models/ed","Imports",TRUE
"PEcAn.utils","*","models/fates","Imports",TRUE
"PEcAn.utils","*","models/gday","Depends",TRUE
"PEcAn.utils","*","models/jules","Imports",TRUE
"PEcAn.utils","*","models/linkages","Depends",TRUE
"PEcAn.utils","*","models/lpjguess","Imports",TRUE
"PEcAn.utils","*","models/maat","Imports",TRUE
"PEcAn.utils","*","models/maespa","Imports",TRUE
"PEcAn.utils","*","models/preles","Depends",TRUE
"PEcAn.utils","*","models/preles","Imports",TRUE
"PEcAn.utils","*","models/sipnet","Imports",TRUE
"PEcAn.utils","*","modules/assim.batch","Imports",TRUE
"PEcAn.utils","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.utils","*","modules/benchmark","Imports",TRUE
"PEcAn.utils","*","modules/data.atmosphere","Imports",TRUE
"PEcAn.utils","*","modules/data.land","Imports",TRUE
"PEcAn.utils","*","modules/data.remote","Imports",TRUE
"PEcAn.utils","*","modules/meta.analysis","Imports",TRUE
"PEcAn.utils","*","modules/rtm","Suggests",TRUE
"PEcAn.utils","*","modules/uncertainty","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/basgra","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/cable","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/dvmdostem","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/ldndc","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/sibcasa","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/stics","Imports",TRUE
"PEcAn.utils",">= 1.4.8","models/template","Imports",TRUE
"PEcAn.visualization","*","modules/assim.sequential","Suggests",TRUE
"PEcAn.visualization","*","modules/data.land","Imports",TRUE
"PEcAn.visualization","*","modules/priors","Suggests",TRUE
"PEcAn.workflow","*","base/all","Depends",TRUE
"PEcAn.workflow","*","modules/assim.batch","Imports",TRUE
"PEcAn.workflow","*","modules/assim.sequential","Imports",TRUE
"plotrix","*","base/qaqc","Imports",FALSE
"plotrix","*","modules/assim.sequential","Suggests",FALSE
"plyr",">= 1.8.4","base/visualization","Imports",FALSE
"plyr",">= 1.8.4","modules/assim.sequential","Suggests",FALSE
"plyr",">= 1.8.4","modules/uncertainty","Imports",FALSE
"png","*","base/visualization","Suggests",FALSE
"prodlim","*","modules/assim.batch","Imports",FALSE
"progress","*","modules/data.atmosphere","Suggests",FALSE
"purrr","*","base/db","Imports",FALSE
"purrr","*","base/settings","Imports",FALSE
"purrr","*","base/utils","Imports",FALSE
"purrr","*","models/ed","Imports",FALSE
"purrr","*","modules/assim.sequential","Imports",FALSE
"purrr","*","modules/data.land","Imports",FALSE
"purrr","*","modules/data.remote","Imports",FALSE
"purrr","*","modules/uncertainty","Imports",FALSE
"purrr",">= 0.2.3","base/workflow","Imports",FALSE
"purrr",">= 0.2.3","modules/data.atmosphere","Imports",FALSE
"pwr","*","modules/rtm","Suggests",FALSE
"R.utils","*","base/db","Imports",FALSE
"randomForest","*","modules/assim.sequential","Suggests",FALSE
"randtoolbox","*","base/utils","Suggests",FALSE
"randtoolbox","*","modules/uncertainty","Imports",FALSE
"raster","*","base/visualization","Suggests",FALSE
"raster","*","modules/assim.sequential","Suggests",FALSE
"raster","*","modules/data.atmosphere","Imports",FALSE
"raster","*","modules/data.land","Suggests",FALSE
"raster","*","modules/data.remote","Suggests",FALSE
"rcrossref","*","base/db","Suggests",FALSE
"readr","*","models/ldndc","Imports",FALSE
"readr","*","modules/assim.sequential","Suggests",FALSE
"REddyProc","*","modules/data.atmosphere","Imports",FALSE
"redland","*","modules/data.land","Suggests",FALSE
"reshape","*","modules/data.remote","Suggests",FALSE
"reshape2","*","base/visualization","Imports",FALSE
"reshape2","*","modules/benchmark","Imports",FALSE
"reshape2","*","modules/data.atmosphere","Imports",FALSE
"reshape2",">= 1.4.2","modules/assim.sequential","Suggests",FALSE
"reticulate","*","modules/data.atmosphere","Suggests",FALSE
"reticulate","*","modules/data.land","Suggests",FALSE
"reticulate","*","modules/data.remote","Imports",FALSE
"rjags","*","base/utils","Suggests",FALSE
"rjags","*","modules/assim.batch","Imports",FALSE
"rjags","*","modules/data.land","Imports",FALSE
"rjags","*","modules/meta.analysis","Imports",FALSE
"rjags","*","modules/photosynthesis","Depends",FALSE
"rjson","*","models/dvmdostem","Imports",FALSE
"rlang","*","base/db","Imports",FALSE
"rlang","*","base/qaqc","Imports",FALSE
"rlang","*","base/utils","Imports",FALSE
"rlang","*","base/visualization","Imports",FALSE
"rlang","*","models/biocro","Imports",FALSE
"rlang","*","models/ed","Imports",FALSE
"rlang","*","models/ldndc","Imports",FALSE
"rlang","*","modules/assim.sequential","Imports",FALSE
"rlang","*","modules/benchmark","Imports",FALSE
"rlang","*","modules/data.land","Imports",FALSE
"rlang","*","modules/data.remote","Imports",FALSE
"rlang","*","modules/uncertainty","Imports",FALSE
"rlang",">= 0.2.0","modules/data.atmosphere","Imports",FALSE
"rlist","*","modules/assim.sequential","Suggests",FALSE
"rmarkdown",">= 2.19","base/db","Suggests",FALSE
"rmarkdown",">= 2.19","base/qaqc","Suggests",FALSE
"rmarkdown",">= 2.19","modules/allometry","Suggests",FALSE
"rmarkdown",">= 2.19","modules/assim.batch","Suggests",FALSE
"rmarkdown",">= 2.19","modules/meta.analysis","Suggests",FALSE
"rmarkdown",">= 2.19","modules/photosynthesis","Suggests",FALSE
"roxygen2","== 7.2.3","base/all","Roxygen",FALSE
"roxygen2","== 7.2.3","base/db","Roxygen",FALSE
"roxygen2","== 7.2.3","base/logger","Roxygen",FALSE
"roxygen2","== 7.2.3","base/qaqc","Roxygen",FALSE
"roxygen2","== 7.2.3","base/remote","Roxygen",FALSE
"roxygen2","== 7.2.3","base/settings","Roxygen",FALSE
"roxygen2","== 7.2.3","base/utils","Roxygen",FALSE
"roxygen2","== 7.2.3","base/visualization","Roxygen",FALSE
"roxygen2","== 7.2.3","base/workflow","Roxygen",FALSE
"roxygen2","== 7.2.3","models/basgra","Roxygen",FALSE
"roxygen2","== 7.2.3","models/biocro","Roxygen",FALSE
"roxygen2","== 7.2.3","models/cable","Roxygen",FALSE
"roxygen2","== 7.2.3","models/clm45","Roxygen",FALSE
"roxygen2","== 7.2.3","models/dalec","Roxygen",FALSE
"roxygen2","== 7.2.3","models/dvmdostem","Roxygen",FALSE
"roxygen2","== 7.2.3","models/ed","Roxygen",FALSE
"roxygen2","== 7.2.3","models/fates","Roxygen",FALSE
"roxygen2","== 7.2.3","models/gday","Roxygen",FALSE
"roxygen2","== 7.2.3","models/jules","Roxygen",FALSE
"roxygen2","== 7.2.3","models/ldndc","Roxygen",FALSE
"roxygen2","== 7.2.3","models/linkages","Roxygen",FALSE
"roxygen2","== 7.2.3","models/lpjguess","Roxygen",FALSE
"roxygen2","== 7.2.3","models/maat","Roxygen",FALSE
"roxygen2","== 7.2.3","models/maespa","Roxygen",FALSE
"roxygen2","== 7.2.3","models/preles","Roxygen",FALSE
"roxygen2","== 7.2.3","models/sibcasa","Roxygen",FALSE
"roxygen2","== 7.2.3","models/sipnet","Roxygen",FALSE
